Scenario no.,SB0,SB1,SB2,SB3,SB4,SB5,SB6,SB7,SB8,SB9
497,"(4, 2014)","(104, 2012)","(0, 2014)","(58, 2013)","(40, 2012)","(102, 2016)","(0, 2015)","(4, 2012)","(104, 2014)","(58, 2015)"
498,"(58, 2014)","(104, 2014)","(104, 2013)","(0, 2017)","(104, 2015)","(40, 2017)","(4, 2016)","(0, 2017)","(25, 2016)","(102, 2015)"
499,"(8, 2017)","(104, 2014)","(102, 2012)","(102, 2012)","(0, 2014)","(25, 2013)","(58, 2013)","(0, 2015)","(104, 2013)","(104, 2017)"
500,"(8, 2013)","(58, 2017)","(0, 2015)","(8, 2016)","(8, 2015)","(4, 2015)","(104, 2013)","(40, 2015)","(0, 2012)","(102, 2015)"
501,"(19, 2012)","(19, 2016)","(0, 2014)","(0, 2012)","(104, 2015)","(40, 2013)","(104, 2016)","(25, 2014)","(4, 2016)","(25, 2012)"
502,"(40, 2016)","(4, 2014)","(25, 2016)","(58, 2014)","(25, 2012)","(102, 2016)","(58, 2015)","(40, 2016)","(25, 2016)","(8, 2015)"
503,"(0, 2014)","(19, 2014)","(102, 2012)","(19, 2016)","(25, 2012)","(0, 2014)","(4, 2013)","(40, 2016)","(0, 2012)","(102, 2017)"
504,"(58, 2012)","(58, 2013)","(4, 2012)","(40, 2014)","(4, 2014)","(102, 2015)","(40, 2012)","(58, 2012)","(102, 2016)","(40, 2014)"
505,"(40, 2014)","(8, 2017)","(19, 2017)","(8, 2013)","(25, 2014)","(19, 2016)","(102, 2012)","(25, 2016)","(40, 2015)","(40, 2014)"
506,"(102, 2014)","(4, 2016)","(58, 2017)","(104, 2015)","(4, 2016)","(40, 2014)","(4, 2015)","(102, 2014)","(19, 2015)","(8, 2012)"
507,"(104, 2012)","(8, 2015)","(19, 2013)","(102, 2016)","(25, 2012)","(0, 2017)","(0, 2015)","(58, 2014)","(58, 2013)","(19, 2013)"
508,"(58, 2012)","(19, 2013)","(25, 2012)","(58, 2017)","(19, 2013)","(19, 2017)","(58, 2014)","(8, 2015)","(58, 2017)","(0, 2015)"
509,"(104, 2013)","(25, 2014)","(102, 2015)","(8, 2016)","(102, 2012)","(104, 2012)","(25, 2014)","(19, 2017)","(40, 2016)","(19, 2016)"
510,"(58, 2014)","(0, 2013)","(4, 2015)","(8, 2017)","(19, 2012)","(8, 2014)","(102, 2013)","(104, 2012)","(58, 2015)","(8, 2012)"
511,"(19, 2012)","(104, 2012)","(19, 2016)","(8, 2012)","(58, 2012)","(0, 2014)","(25, 2017)","(58, 2013)","(104, 2016)","(40, 2016)"
512,"(0, 2015)","(102, 2016)","(58, 2012)","(58, 2016)","(25, 2016)","(4, 2017)","(25, 2016)","(25, 2013)","(8, 2016)","(4, 2013)"
513,"(102, 2017)","(8, 2014)","(25, 2015)","(19, 2017)","(8, 2016)","(104, 2014)","(25, 2014)","(25, 2013)","(104, 2012)","(58, 2015)"
514,"(104, 2013)","(40, 2014)","(4, 2012)","(58, 2016)","(104, 2017)","(104, 2012)","(25, 2017)","(102, 2012)","(102, 2012)","(25, 2017)"
515,"(102, 2016)","(19, 2016)","(102, 2016)","(4, 2017)","(0, 2012)","(8, 2012)","(8, 2015)","(19, 2013)","(25, 2013)","(25, 2017)"
516,"(19, 2013)","(4, 2015)","(19, 2014)","(102, 2014)","(40, 2012)","(8, 2017)","(0, 2015)","(102, 2015)","(40, 2013)","(58, 2016)"
517,"(8, 2016)","(58, 2013)","(8, 2012)","(58, 2016)","(0, 2014)","(102, 2012)","(19, 2015)","(0, 2017)","(8, 2012)","(102, 2017)"
518,"(19, 2015)","(0, 2013)","(25, 2016)","(104, 2015)","(104, 2015)","(25, 2012)","(4, 2016)","(0, 2016)","(8, 2015)","(0, 2015)"
519,"(58, 2017)","(40, 2015)","(40, 2017)","(102, 2017)","(0, 2016)","(25, 2012)","(58, 2014)","(8, 2013)","(58, 2016)","(102, 2014)"
520,"(102, 2017)","(19, 2014)","(40, 2015)","(104, 2013)","(19, 2017)","(104, 2012)","(19, 2014)","(8, 2014)","(58, 2014)","(8, 2014)"
521,"(102, 2015)","(102, 2017)","(0, 2014)","(19, 2017)","(4, 2015)","(104, 2015)","(40, 2015)","(102, 2013)","(4, 2016)","(40, 2014)"
522,"(40, 2017)","(19, 2013)","(19, 2015)","(19, 2014)","(4, 2013)","(102, 2013)","(102, 2012)","(40, 2016)","(0, 2014)","(0, 2014)"
523,"(0, 2017)","(58, 2014)","(8, 2014)","(104, 2017)","(104, 2016)","(40, 2014)","(25, 2016)","(0, 2012)","(104, 2017)","(25, 2012)"
524,"(8, 2017)","(8, 2016)","(8, 2015)","(4, 2017)","(19, 2017)","(19, 2016)","(58, 2013)","(0, 2012)","(4, 2012)","(104, 2017)"
525,"(0, 2012)","(25, 2016)","(0, 2013)","(19, 2015)","(8, 2015)","(0, 2016)","(8, 2015)","(58, 2014)","(0, 2014)","(40, 2017)"
526,"(19, 2015)","(4, 2013)","(4, 2015)","(0, 2013)","(104, 2012)","(40, 2014)","(19, 2017)","(25, 2017)","(58, 2013)","(104, 2015)"
527,"(0, 2016)","(0, 2015)","(0, 2015)","(8, 2013)","(102, 2016)","(4, 2017)","(4, 2014)","(4, 2015)","(19, 2013)","(25, 2013)"
528,"(25, 2014)","(4, 2016)","(0, 2012)","(19, 2016)","(104, 2017)","(8, 2013)","(58, 2016)","(0, 2012)","(8, 2016)","(58, 2015)"
529,"(102, 2016)","(40, 2013)","(102, 2013)","(19, 2016)","(102, 2015)","(58, 2012)","(0, 2017)","(104, 2017)","(19, 2016)","(19, 2013)"
530,"(102, 2015)","(19, 2014)","(25, 2014)","(40, 2017)","(0, 2014)","(0, 2017)","(104, 2013)","(104, 2013)","(25, 2012)","(25, 2014)"
531,"(19, 2015)","(102, 2016)","(102, 2016)","(4, 2014)","(25, 2016)","(102, 2017)","(58, 2017)","(102, 2014)","(8, 2012)","(19, 2014)"
532,"(0, 2017)","(4, 2015)","(4, 2013)","(25, 2013)","(4, 2014)","(4, 2013)","(8, 2017)","(104, 2014)","(0, 2013)","(40, 2014)"
533,"(104, 2012)","(102, 2016)","(58, 2016)","(25, 2014)","(25, 2016)","(58, 2013)","(40, 2012)","(4, 2014)","(40, 2017)","(40, 2015)"
534,"(58, 2016)","(4, 2014)","(8, 2013)","(0, 2014)","(102, 2015)","(58, 2017)","(19, 2013)","(19, 2013)","(4, 2015)","(4, 2014)"
535,"(102, 2017)","(104, 2013)","(104, 2016)","(104, 2016)","(8, 2017)","(40, 2015)","(40, 2017)","(25, 2012)","(25, 2015)","(102, 2013)"
536,"(102, 2016)","(104, 2017)","(8, 2014)","(4, 2013)","(19, 2013)","(19, 2016)","(19, 2014)","(40, 2017)","(19, 2017)","(25, 2013)"
537,"(4, 2016)","(58, 2013)","(40, 2016)","(25, 2012)","(102, 2017)","(40, 2016)","(40, 2016)","(104, 2015)","(58, 2015)","(4, 2015)"
538,"(19, 2017)","(58, 2015)","(58, 2013)","(102, 2012)","(4, 2016)","(58, 2015)","(58, 2017)","(4, 2014)","(102, 2013)","(40, 2016)"
539,"(25, 2017)","(40, 2015)","(0, 2013)","(40, 2013)","(58, 2012)","(104, 2014)","(25, 2012)","(40, 2015)","(0, 2016)","(8, 2013)"
540,"(104, 2013)","(40, 2015)","(4, 2016)","(25, 2014)","(4, 2013)","(19, 2017)","(8, 2013)","(102, 2013)","(0, 2014)","(104, 2013)"
541,"(8, 2012)","(0, 2013)","(8, 2017)","(40, 2015)","(0, 2014)","(25, 2013)","(58, 2012)","(102, 2012)","(40, 2015)","(25, 2017)"
542,"(102, 2016)","(58, 2017)","(104, 2017)","(4, 2015)","(40, 2015)","(8, 2017)","(19, 2016)","(104, 2013)","(19, 2012)","(8, 2014)"
543,"(25, 2012)","(104, 2016)","(40, 2015)","(8, 2012)","(4, 2012)","(4, 2014)","(8, 2016)","(40, 2012)","(4, 2012)","(25, 2014)"
544,"(4, 2017)","(19, 2016)","(104, 2015)","(4, 2015)","(40, 2012)","(40, 2016)","(40, 2017)","(40, 2014)","(25, 2012)","(40, 2014)"
545,"(25, 2012)","(4, 2016)","(104, 2013)","(25, 2015)","(58, 2017)","(8, 2015)","(104, 2015)","(102, 2014)","(0, 2015)","(4, 2016)"
546,"(0, 2013)","(25, 2017)","(4, 2012)","(0, 2016)","(8, 2015)","(0, 2015)","(104, 2017)","(104, 2016)","(102, 2014)","(40, 2015)"
547,"(4, 2012)","(8, 2014)","(104, 2012)","(58, 2016)","(8, 2012)","(40, 2016)","(102, 2013)","(104, 2016)","(19, 2014)","(58, 2013)"
548,"(4, 2015)","(102, 2017)","(4, 2012)","(8, 2017)","(4, 2016)","(4, 2014)","(104, 2016)","(104, 2017)","(4, 2012)","(40, 2012)"
549,"(19, 2013)","(19, 2014)","(19, 2017)","(19, 2014)","(4, 2013)","(40, 2014)","(19, 2016)","(8, 2016)","(8, 2012)","(102, 2017)"
550,"(58, 2015)","(25, 2015)","(58, 2017)","(58, 2013)","(58, 2017)","(58, 2014)","(4, 2012)","(8, 2017)","(104, 2014)","(58, 2017)"
551,"(102, 2014)","(40, 2016)","(0, 2017)","(0, 2017)","(8, 2013)","(8, 2014)","(40, 2013)","(58, 2017)","(25, 2016)","(102, 2015)"
552,"(104, 2012)","(40, 2014)","(102, 2016)","(58, 2012)","(58, 2012)","(0, 2016)","(4, 2017)","(8, 2014)","(0, 2014)","(104, 2015)"
553,"(8, 2013)","(0, 2013)","(19, 2015)","(102, 2014)","(25, 2012)","(25, 2014)","(19, 2013)","(4, 2016)","(0, 2014)","(58, 2017)"
554,"(102, 2013)","(8, 2017)","(40, 2012)","(25, 2017)","(104, 2016)","(40, 2014)","(19, 2012)","(25, 2016)","(25, 2013)","(19, 2014)"
555,"(25, 2015)","(19, 2016)","(0, 2016)","(8, 2017)","(40, 2017)","(19, 2014)","(0, 2014)","(0, 2012)","(19, 2016)","(19, 2012)"
556,"(0, 2014)","(19, 2016)","(0, 2012)","(40, 2017)","(19, 2017)","(40, 2014)","(25, 2013)","(25, 2016)","(102, 2016)","(40, 2013)"
557,"(0, 2012)","(8, 2012)","(58, 2012)","(25, 2013)","(104, 2012)","(102, 2017)","(0, 2017)","(4, 2017)","(25, 2013)","(104, 2012)"
558,"(104, 2013)","(102, 2015)","(0, 2012)","(25, 2013)","(0, 2013)","(0, 2015)","(25, 2015)","(8, 2013)","(25, 2016)","(4, 2017)"
559,"(19, 2015)","(8, 2015)","(8, 2017)","(104, 2017)","(40, 2015)","(102, 2017)","(25, 2014)","(102, 2014)","(8, 2016)","(0, 2013)"
560,"(58, 2016)","(0, 2017)","(4, 2015)","(104, 2013)","(19, 2013)","(19, 2017)","(40, 2016)","(4, 2016)","(40, 2013)","(104, 2013)"
561,"(102, 2013)","(8, 2012)","(0, 2017)","(25, 2013)","(4, 2016)","(40, 2015)","(58, 2014)","(19, 2013)","(0, 2013)","(40, 2016)"
562,"(25, 2014)","(102, 2016)","(102, 2016)","(0, 2017)","(104, 2015)","(102, 2012)","(0, 2016)","(8, 2016)","(104, 2016)","(19, 2014)"
563,"(25, 2014)","(19, 2014)","(102, 2014)","(8, 2014)","(25, 2013)","(4, 2015)","(19, 2015)","(19, 2016)","(19, 2015)","(8, 2017)"
564,"(40, 2012)","(40, 2014)","(58, 2012)","(58, 2017)","(4, 2015)","(102, 2015)","(8, 2013)","(58, 2015)","(8, 2016)","(0, 2016)"
565,"(58, 2017)","(40, 2017)","(102, 2015)","(104, 2013)","(102, 2013)","(0, 2016)","(40, 2015)","(102, 2017)","(102, 2015)","(8, 2014)"
566,"(19, 2014)","(104, 2015)","(4, 2016)","(104, 2012)","(58, 2014)","(8, 2012)","(25, 2015)","(104, 2015)","(102, 2017)","(104, 2012)"
567,"(58, 2017)","(25, 2017)","(102, 2014)","(19, 2017)","(4, 2017)","(4, 2014)","(40, 2016)","(104, 2017)","(4, 2014)","(25, 2015)"
568,"(58, 2013)","(19, 2012)","(25, 2013)","(58, 2016)","(4, 2017)","(58, 2014)","(104, 2015)","(8, 2016)","(4, 2016)","(4, 2012)"
569,"(104, 2013)","(104, 2014)","(40, 2017)","(40, 2014)","(102, 2014)","(4, 2014)","(8, 2017)","(58, 2013)","(58, 2017)","(102, 2017)"
570,"(25, 2014)","(25, 2014)","(104, 2012)","(0, 2015)","(58, 2015)","(104, 2012)","(19, 2013)","(104, 2014)","(0, 2013)","(40, 2015)"
571,"(25, 2016)","(102, 2012)","(19, 2013)","(40, 2015)","(58, 2014)","(0, 2013)","(19, 2015)","(102, 2017)","(40, 2017)","(104, 2012)"
572,"(19, 2015)","(102, 2014)","(104, 2016)","(8, 2012)","(102, 2015)","(102, 2012)","(19, 2013)","(102, 2015)","(102, 2014)","(102, 2016)"
573,"(0, 2015)","(4, 2016)","(102, 2013)","(4, 2015)","(104, 2013)","(102, 2016)","(8, 2015)","(8, 2017)","(19, 2012)","(0, 2014)"
574,"(0, 2016)","(25, 2015)","(102, 2013)","(102, 2014)","(4, 2017)","(8, 2014)","(102, 2016)","(40, 2012)","(0, 2017)","(8, 2017)"
575,"(40, 2017)","(4, 2012)","(58, 2012)","(102, 2017)","(4, 2017)","(102, 2015)","(40, 2012)","(58, 2016)","(104, 2012)","(104, 2015)"
576,"(4, 2012)","(102, 2013)","(58, 2015)","(40, 2014)","(104, 2012)","(0, 2017)","(102, 2015)","(102, 2016)","(58, 2017)","(19, 2012)"
577,"(0, 2017)","(102, 2013)","(104, 2013)","(4, 2016)","(0, 2014)","(19, 2014)","(102, 2016)","(4, 2017)","(0, 2016)","(8, 2013)"
578,"(8, 2014)","(4, 2014)","(104, 2012)","(19, 2017)","(104, 2012)","(25, 2015)","(25, 2017)","(0, 2016)","(104, 2015)","(40, 2014)"
579,"(8, 2015)","(19, 2014)","(4, 2012)","(0, 2017)","(58, 2014)","(25, 2014)","(8, 2014)","(8, 2013)","(104, 2014)","(8, 2017)"
580,"(19, 2016)","(40, 2017)","(25, 2017)","(58, 2016)","(4, 2017)","(104, 2013)","(4, 2017)","(0, 2013)","(0, 2016)","(4, 2014)"
581,"(8, 2013)","(8, 2013)","(104, 2015)","(25, 2015)","(8, 2017)","(25, 2013)","(8, 2013)","(40, 2017)","(19, 2016)","(0, 2017)"
582,"(40, 2014)","(104, 2015)","(8, 2012)","(19, 2012)","(0, 2017)","(0, 2012)","(8, 2016)","(25, 2012)","(58, 2012)","(4, 2013)"
583,"(4, 2017)","(4, 2015)","(8, 2016)","(40, 2014)","(8, 2014)","(0, 2015)","(4, 2016)","(0, 2013)","(102, 2016)","(0, 2015)"
584,"(19, 2015)","(58, 2017)","(102, 2012)","(102, 2017)","(4, 2012)","(104, 2013)","(8, 2016)","(104, 2014)","(58, 2012)","(19, 2012)"
585,"(4, 2017)","(25, 2013)","(0, 2014)","(19, 2015)","(0, 2014)","(40, 2014)","(40, 2016)","(8, 2017)","(25, 2017)","(102, 2016)"
586,"(4, 2015)","(0, 2016)","(0, 2015)","(58, 2015)","(19, 2014)","(4, 2015)","(104, 2013)","(25, 2012)","(102, 2016)","(8, 2016)"
587,"(58, 2017)","(8, 2013)","(102, 2012)","(0, 2017)","(104, 2013)","(4, 2016)","(58, 2017)","(102, 2017)","(25, 2013)","(4, 2012)"
588,"(102, 2012)","(102, 2012)","(0, 2017)","(104, 2015)","(25, 2017)","(4, 2012)","(25, 2015)","(58, 2017)","(4, 2014)","(25, 2014)"
589,"(8, 2013)","(8, 2012)","(0, 2016)","(4, 2017)","(102, 2012)","(4, 2017)","(8, 2017)","(102, 2016)","(102, 2016)","(19, 2015)"
590,"(25, 2016)","(58, 2016)","(25, 2014)","(102, 2016)","(104, 2013)","(0, 2017)","(104, 2012)","(4, 2015)","(104, 2014)","(19, 2016)"
591,"(25, 2015)","(0, 2014)","(8, 2015)","(40, 2016)","(19, 2016)","(40, 2016)","(58, 2017)","(8, 2017)","(104, 2012)","(25, 2012)"
592,"(40, 2013)","(58, 2012)","(8, 2015)","(58, 2012)","(8, 2015)","(102, 2014)","(104, 2012)","(0, 2013)","(4, 2015)","(58, 2013)"
593,"(40, 2015)","(58, 2016)","(0, 2017)","(40, 2013)","(25, 2016)","(104, 2012)","(58, 2013)","(102, 2013)","(19, 2017)","(40, 2014)"
594,"(104, 2015)","(40, 2012)","(19, 2015)","(0, 2015)","(25, 2016)","(0, 2013)","(104, 2015)","(58, 2014)","(25, 2016)","(0, 2013)"
595,"(19, 2016)","(25, 2013)","(0, 2012)","(19, 2012)","(58, 2014)","(40, 2016)","(104, 2016)","(25, 2013)","(19, 2014)","(58, 2016)"
596,"(19, 2012)","(25, 2014)","(102, 2012)","(104, 2015)","(104, 2014)","(19, 2017)","(19, 2015)","(25, 2013)","(102, 2016)","(58, 2016)"
597,"(8, 2012)","(0, 2013)","(102, 2017)","(40, 2012)","(104, 2012)","(25, 2013)","(102, 2014)","(102, 2013)","(58, 2016)","(25, 2017)"
598,"(19, 2015)","(19, 2012)","(8, 2012)","(104, 2012)","(8, 2012)","(102, 2015)","(102, 2015)","(4, 2015)","(25, 2014)","(25, 2012)"
599,"(102, 2012)","(8, 2012)","(8, 2014)","(40, 2014)","(25, 2012)","(0, 2015)","(4, 2016)","(8, 2014)","(104, 2014)","(58, 2015)"
600,"(104, 2016)","(19, 2015)","(58, 2012)","(0, 2017)","(40, 2012)","(8, 2015)","(104, 2015)","(25, 2014)","(104, 2015)","(4, 2016)"
601,"(8, 2014)","(8, 2016)","(8, 2015)","(25, 2016)","(104, 2016)","(0, 2012)","(40, 2015)","(8, 2015)","(104, 2017)","(19, 2016)"
602,"(4, 2014)","(4, 2015)","(40, 2013)","(102, 2017)","(25, 2012)","(8, 2013)","(0, 2017)","(19, 2016)","(40, 2014)","(8, 2017)"
603,"(19, 2017)","(4, 2013)","(58, 2013)","(25, 2012)","(40, 2013)","(19, 2012)","(4, 2016)","(25, 2017)","(40, 2013)","(58, 2017)"
604,"(0, 2016)","(8, 2014)","(25, 2012)","(40, 2012)","(40, 2012)","(40, 2014)","(0, 2013)","(8, 2015)","(19, 2017)","(0, 2012)"
605,"(58, 2017)","(4, 2016)","(104, 2012)","(0, 2014)","(8, 2016)","(58, 2016)","(8, 2015)","(40, 2012)","(25, 2016)","(4, 2013)"
606,"(102, 2016)","(8, 2015)","(102, 2016)","(104, 2012)","(104, 2015)","(4, 2016)","(19, 2012)","(40, 2014)","(102, 2014)","(58, 2015)"
607,"(4, 2013)","(58, 2014)","(102, 2012)","(40, 2014)","(25, 2012)","(40, 2016)","(8, 2015)","(104, 2017)","(58, 2015)","(25, 2017)"
608,"(25, 2017)","(0, 2014)","(102, 2013)","(25, 2015)","(40, 2012)","(102, 2015)","(8, 2017)","(104, 2012)","(25, 2013)","(104, 2012)"
609,"(102, 2012)","(25, 2016)","(58, 2012)","(0, 2014)","(104, 2014)","(8, 2017)","(0, 2017)","(102, 2016)","(102, 2016)","(40, 2016)"
610,"(58, 2017)","(104, 2013)","(58, 2015)","(102, 2016)","(25, 2016)","(4, 2015)","(25, 2012)","(4, 2016)","(58, 2012)","(8, 2013)"
611,"(4, 2015)","(102, 2015)","(40, 2012)","(0, 2017)","(8, 2014)","(102, 2017)","(25, 2013)","(25, 2014)","(102, 2014)","(4, 2015)"
612,"(0, 2015)","(19, 2017)","(8, 2013)","(4, 2012)","(104, 2015)","(0, 2015)","(8, 2015)","(58, 2015)","(0, 2013)","(40, 2015)"
613,"(102, 2013)","(4, 2017)","(102, 2017)","(19, 2016)","(4, 2012)","(0, 2016)","(58, 2012)","(102, 2013)","(19, 2012)","(25, 2014)"
614,"(104, 2013)","(104, 2016)","(25, 2012)","(0, 2017)","(8, 2014)","(58, 2015)","(8, 2015)","(19, 2017)","(102, 2014)","(8, 2014)"
615,"(0, 2014)","(104, 2017)","(58, 2015)","(0, 2014)","(19, 2015)","(102, 2016)","(40, 2015)","(104, 2015)","(8, 2014)","(58, 2015)"
616,"(40, 2013)","(40, 2016)","(19, 2015)","(102, 2013)","(40, 2014)","(0, 2017)","(4, 2015)","(58, 2013)","(0, 2016)","(25, 2012)"
617,"(40, 2014)","(102, 2013)","(8, 2017)","(40, 2017)","(8, 2012)","(40, 2015)","(58, 2015)","(58, 2016)","(40, 2012)","(19, 2012)"
618,"(0, 2015)","(0, 2013)","(104, 2016)","(4, 2015)","(19, 2015)","(4, 2017)","(19, 2017)","(40, 2012)","(25, 2012)","(102, 2017)"
619,"(8, 2012)","(102, 2015)","(40, 2014)","(25, 2017)","(25, 2017)","(102, 2012)","(0, 2017)","(25, 2012)","(58, 2014)","(58, 2014)"
620,"(102, 2012)","(19, 2016)","(4, 2015)","(104, 2014)","(40, 2014)","(58, 2017)","(25, 2016)","(58, 2017)","(102, 2013)","(0, 2016)"
621,"(19, 2015)","(19, 2014)","(25, 2015)","(4, 2014)","(58, 2013)","(19, 2013)","(0, 2015)","(104, 2014)","(0, 2017)","(0, 2015)"
622,"(8, 2015)","(25, 2015)","(4, 2015)","(40, 2016)","(4, 2016)","(4, 2016)","(4, 2014)","(40, 2012)","(40, 2015)","(4, 2015)"
623,"(58, 2014)","(8, 2015)","(8, 2016)","(40, 2012)","(8, 2015)","(25, 2014)","(4, 2012)","(4, 2016)","(8, 2013)","(104, 2017)"
624,"(4, 2017)","(19, 2015)","(102, 2015)","(102, 2013)","(58, 2014)","(25, 2017)","(58, 2016)","(8, 2013)","(40, 2014)","(0, 2013)"
625,"(104, 2016)","(8, 2017)","(104, 2017)","(58, 2016)","(40, 2016)","(0, 2012)","(104, 2012)","(19, 2017)","(40, 2012)","(4, 2014)"
626,"(0, 2014)","(0, 2012)","(8, 2014)","(102, 2017)","(8, 2013)","(40, 2012)","(19, 2016)","(104, 2013)","(19, 2014)","(102, 2015)"
627,"(104, 2015)","(104, 2016)","(104, 2015)","(102, 2013)","(19, 2012)","(104, 2015)","(58, 2015)","(58, 2012)","(102, 2017)","(58, 2015)"
628,"(4, 2012)","(4, 2017)","(19, 2013)","(4, 2017)","(104, 2015)","(0, 2013)","(19, 2012)","(102, 2013)","(19, 2015)","(8, 2015)"
629,"(40, 2015)","(58, 2017)","(19, 2014)","(40, 2016)","(8, 2012)","(25, 2013)","(40, 2013)","(25, 2015)","(40, 2017)","(19, 2016)"
630,"(0, 2014)","(8, 2016)","(0, 2014)","(4, 2015)","(25, 2013)","(25, 2012)","(104, 2016)","(4, 2015)","(102, 2017)","(19, 2013)"
631,"(102, 2016)","(58, 2013)","(102, 2015)","(4, 2014)","(8, 2013)","(19, 2016)","(102, 2016)","(58, 2012)","(8, 2015)","(102, 2012)"
632,"(58, 2015)","(58, 2015)","(40, 2012)","(19, 2013)","(0, 2013)","(4, 2017)","(102, 2015)","(58, 2016)","(8, 2013)","(40, 2016)"
633,"(58, 2016)","(25, 2014)","(104, 2015)","(8, 2014)","(58, 2016)","(4, 2013)","(8, 2014)","(102, 2013)","(58, 2012)","(25, 2016)"
634,"(8, 2012)","(102, 2012)","(102, 2017)","(25, 2014)","(8, 2014)","(4, 2015)","(40, 2012)","(102, 2012)","(4, 2016)","(58, 2015)"
635,"(102, 2016)","(4, 2014)","(40, 2016)","(25, 2015)","(58, 2014)","(25, 2012)","(19, 2012)","(0, 2016)","(40, 2014)","(40, 2015)"
636,"(25, 2014)","(8, 2017)","(58, 2013)","(8, 2015)","(0, 2017)","(104, 2013)","(19, 2013)","(0, 2013)","(102, 2012)","(0, 2015)"
637,"(58, 2017)","(102, 2012)","(19, 2013)","(8, 2013)","(104, 2013)","(25, 2014)","(58, 2015)","(19, 2012)","(102, 2014)","(25, 2017)"
638,"(8, 2015)","(40, 2016)","(25, 2016)","(0, 2012)","(25, 2012)","(40, 2016)","(19, 2016)","(25, 2012)","(40, 2016)","(58, 2012)"
639,"(25, 2013)","(0, 2015)","(25, 2015)","(0, 2014)","(25, 2014)","(40, 2017)","(8, 2012)","(102, 2015)","(102, 2012)","(19, 2015)"
640,"(25, 2013)","(0, 2017)","(4, 2017)","(4, 2015)","(19, 2017)","(19, 2015)","(19, 2013)","(8, 2014)","(40, 2016)","(19, 2015)"
641,"(4, 2014)","(25, 2017)","(19, 2013)","(25, 2015)","(104, 2015)","(104, 2015)","(0, 2014)","(19, 2012)","(4, 2015)","(4, 2014)"
642,"(58, 2013)","(4, 2016)","(58, 2013)","(58, 2012)","(8, 2014)","(8, 2012)","(104, 2013)","(4, 2017)","(0, 2012)","(0, 2016)"
643,"(40, 2016)","(0, 2012)","(104, 2015)","(102, 2016)","(25, 2013)","(25, 2014)","(40, 2017)","(25, 2014)","(25, 2012)","(8, 2013)"
644,"(40, 2017)","(8, 2016)","(0, 2017)","(25, 2014)","(25, 2017)","(104, 2015)","(40, 2015)","(25, 2012)","(19, 2012)","(102, 2012)"
645,"(4, 2012)","(0, 2016)","(25, 2017)","(25, 2016)","(25, 2012)","(58, 2014)","(104, 2015)","(104, 2017)","(25, 2014)","(0, 2016)"
646,"(19, 2012)","(8, 2012)","(4, 2016)","(8, 2012)","(102, 2015)","(58, 2014)","(40, 2014)","(40, 2016)","(104, 2015)","(102, 2015)"
647,"(19, 2017)","(104, 2014)","(58, 2017)","(8, 2012)","(58, 2014)","(0, 2015)","(4, 2015)","(4, 2014)","(0, 2014)","(40, 2017)"
648,"(58, 2017)","(58, 2013)","(8, 2016)","(40, 2015)","(102, 2014)","(19, 2016)","(4, 2013)","(0, 2012)","(4, 2016)","(0, 2016)"
649,"(102, 2016)","(19, 2016)","(102, 2016)","(8, 2015)","(40, 2012)","(40, 2017)","(19, 2012)","(58, 2014)","(25, 2014)","(40, 2012)"
650,"(102, 2015)","(4, 2013)","(0, 2015)","(58, 2014)","(19, 2016)","(4, 2017)","(58, 2013)","(104, 2013)","(104, 2013)","(104, 2016)"
651,"(58, 2012)","(19, 2016)","(8, 2016)","(19, 2013)","(58, 2017)","(19, 2013)","(102, 2014)","(8, 2014)","(4, 2017)","(0, 2015)"
652,"(25, 2015)","(19, 2013)","(104, 2015)","(104, 2013)","(58, 2012)","(25, 2014)","(4, 2017)","(102, 2016)","(40, 2014)","(40, 2016)"
653,"(4, 2012)","(0, 2017)","(4, 2015)","(104, 2017)","(25, 2014)","(0, 2016)","(0, 2017)","(102, 2012)","(0, 2016)","(0, 2012)"
654,"(0, 2015)","(0, 2016)","(40, 2016)","(0, 2014)","(19, 2017)","(0, 2013)","(19, 2016)","(8, 2014)","(104, 2017)","(58, 2015)"
655,"(4, 2013)","(102, 2015)","(40, 2014)","(25, 2015)","(4, 2014)","(0, 2016)","(19, 2016)","(40, 2014)","(4, 2015)","(4, 2012)"
656,"(102, 2014)","(8, 2013)","(58, 2015)","(104, 2014)","(0, 2014)","(0, 2016)","(8, 2017)","(0, 2015)","(104, 2014)","(19, 2015)"
657,"(8, 2012)","(25, 2016)","(19, 2015)","(19, 2014)","(104, 2016)","(58, 2013)","(19, 2015)","(0, 2013)","(19, 2016)","(19, 2014)"
658,"(58, 2016)","(0, 2013)","(102, 2012)","(104, 2017)","(58, 2017)","(25, 2012)","(40, 2015)","(4, 2016)","(58, 2017)","(8, 2014)"
659,"(8, 2012)","(4, 2016)","(40, 2012)","(0, 2013)","(102, 2014)","(0, 2017)","(40, 2015)","(19, 2013)","(8, 2016)","(102, 2013)"
660,"(104, 2015)","(58, 2016)","(4, 2015)","(8, 2015)","(0, 2013)","(0, 2012)","(0, 2013)","(104, 2016)","(58, 2014)","(40, 2013)"
661,"(4, 2014)","(104, 2016)","(8, 2014)","(102, 2013)","(102, 2012)","(25, 2017)","(0, 2017)","(8, 2015)","(0, 2012)","(19, 2014)"
662,"(8, 2012)","(102, 2012)","(19, 2012)","(8, 2017)","(0, 2016)","(58, 2014)","(25, 2014)","(4, 2016)","(104, 2016)","(4, 2014)"
