Scenario no.,SB0,SB1,SB2,SB3,SB4,SB5,BM0,BM1,BM2,BM3,BM4,BM5
776,"(104, 2014, 101.6, 365.2)","(25, 2016, 127.4, 287.7)","(0, 2017, 77.9, 242.2)","(104, 2017, 146.8, 303.5)","(25, 2015, 97.3, 316.3)","(102, 2015, 92.4, 216.0)","(104, -1, 110.8, 345.5)","(25, -1, 124.9, 294.9)","(0, -1, 78.0, 263.1)","(104, -1, 140.0, 304.3)","(25, -1, 85.9, 313.7)","(102, -1, 71.8, 196.6)"
777,"(40, 2017, 82.3, 250.1)","(102, 2016, 90.2, 317.5)","(25, 2013, 82.3, 274.1)","(19, 2012, 147.7, 323.1)","(4, 2014, 86.0, 285.2)","(4, 2016, 125.0, 282.3)","(40, -1, 89.0, 243.7)","(102, -1, 85.3, 337.1)","(25, -1, 91.6, 290.1)","(19, -1, 154.0, 285.1)","(4, -1, 82.3, 319.5)","(4, -1, 132.5, 247.7)"
778,"(104, 2012, 117.9, 203.0)","(0, 2016, 90.3, 378.3)","(58, 2017, 75.7, 322.1)","(40, 2014, 98.3, 291.5)","(58, 2013, 128.3, 290.6)","(0, 2013, 116.3, 358.9)","(104, -1, 111.2, 217.3)","(0, -1, 91.2, 364.7)","(58, -1, 73.9, 325.3)","(40, -1, 94.4, 291.1)","(58, -1, 157.9, 292.2)","(0, -1, 105.2, 338.8)"
779,"(25, 2014, 130.8, 284.4)","(58, 2014, 128.0, 347.4)","(25, 2013, 77.5, 366.1)","(4, 2017, 99.6, 343.8)","(0, 2013, 138.5, 316.9)","(25, 2016, 50.1, 252.4)","(25, -1, 122.3, 262.8)","(58, -1, 114.5, 392.8)","(25, -1, 77.8, 359.7)","(4, -1, 91.8, 336.5)","(0, -1, 151.9, 297.4)","(25, -1, 59.6, 228.8)"
780,"(19, 2012, 99.2, 360.1)","(104, 2016, 105.6, 313.6)","(19, 2015, 123.6, 275.0)","(102, 2012, 110.6, 216.1)","(102, 2012, 70.6, 202.5)","(19, 2014, 94.9, 367.8)","(19, -1, 101.7, 354.5)","(104, -1, 107.5, 333.5)","(19, -1, 120.6, 293.3)","(102, -1, 104.8, 201.7)","(102, -1, 62.5, 207.2)","(19, -1, 99.3, 316.5)"
781,"(8, 2016, 123.9, 236.0)","(25, 2012, 139.7, 287.5)","(102, 2012, 119.8, 298.8)","(102, 2014, 86.2, 340.1)","(58, 2013, 83.2, 290.8)","(102, 2015, 82.6, 328.4)","(8, -1, 129.9, 242.4)","(25, -1, 169.1, 284.3)","(102, -1, 100.8, 317.1)","(102, -1, 92.0, 375.3)","(58, -1, 90.8, 279.5)","(102, -1, 86.5, 311.5)"
782,"(4, 2013, 65.1, 228.4)","(0, 2012, 86.0, 312.4)","(4, 2017, 108.1, 253.5)","(104, 2017, 135.2, 383.9)","(104, 2015, 98.0, 357.2)","(4, 2013, 106.3, 344.1)","(4, -1, 61.4, 213.5)","(0, -1, 93.5, 305.7)","(4, -1, 116.1, 255.3)","(104, -1, 135.7, 383.3)","(104, -1, 75.8, 373.0)","(4, -1, 113.8, 303.1)"
783,"(102, 2013, 112.3, 211.0)","(25, 2017, 108.2, 332.5)","(4, 2017, 136.9, 285.8)","(104, 2017, 126.3, 204.1)","(0, 2017, 87.4, 340.8)","(8, 2016, 35.4, 331.1)","(102, -1, 114.6, 233.1)","(25, -1, 90.4, 327.1)","(4, -1, 120.2, 302.7)","(104, -1, 116.0, 217.2)","(0, -1, 84.9, 364.0)","(8, -1, 36.2, 359.0)"
784,"(58, 2017, 65.1, 235.6)","(25, 2017, 109.8, 386.9)","(40, 2016, 103.3, 242.9)","(58, 2015, 115.2, 331.2)","(0, 2015, 84.0, 322.7)","(58, 2012, 126.8, 233.4)","(58, -1, 70.2, 197.8)","(25, -1, 117.8, 412.0)","(40, -1, 89.3, 259.0)","(58, -1, 129.8, 303.8)","(0, -1, 82.8, 299.6)","(58, -1, 121.9, 218.7)"
785,"(25, 2016, 124.4, 324.2)","(102, 2017, 123.7, 367.9)","(4, 2014, 77.3, 371.4)","(104, 2012, 73.8, 340.0)","(40, 2014, 96.7, 381.1)","(104, 2016, 76.0, 298.0)","(25, -1, 106.8, 288.7)","(102, -1, 127.9, 363.5)","(4, -1, 70.5, 365.5)","(104, -1, 59.5, 371.2)","(40, -1, 110.3, 397.5)","(104, -1, 79.2, 298.8)"
786,"(40, 2013, 94.4, 233.5)","(40, 2013, 65.2, 256.4)","(0, 2012, 142.0, 233.0)","(102, 2015, 78.2, 257.1)","(104, 2016, 89.2, 340.4)","(40, 2014, 68.1, 361.3)","(40, -1, 97.5, 151.9)","(40, -1, 65.2, 254.5)","(0, -1, 136.2, 248.3)","(102, -1, 76.9, 274.9)","(104, -1, 85.7, 299.8)","(40, -1, 72.1, 369.9)"
787,"(0, 2014, 110.8, 285.5)","(102, 2012, 129.5, 270.6)","(104, 2012, 162.6, 244.8)","(58, 2016, 71.0, 282.5)","(0, 2013, 162.1, 364.3)","(0, 2012, 132.5, 331.0)","(0, -1, 111.7, 302.6)","(102, -1, 132.9, 248.4)","(104, -1, 150.2, 242.3)","(58, -1, 67.6, 225.0)","(0, -1, 168.4, 384.0)","(0, -1, 108.6, 297.0)"
788,"(25, 2016, 95.5, 346.4)","(40, 2013, 88.6, 286.1)","(25, 2015, 101.5, 304.3)","(4, 2017, 112.2, 299.1)","(19, 2015, 147.8, 346.2)","(25, 2015, 89.7, 371.5)","(25, -1, 101.7, 315.2)","(40, -1, 84.2, 302.8)","(25, -1, 104.5, 277.0)","(4, -1, 120.7, 337.6)","(19, -1, 151.8, 348.7)","(25, -1, 107.6, 441.4)"
789,"(58, 2014, 117.8, 392.8)","(0, 2015, 103.0, 238.9)","(25, 2016, 117.6, 377.6)","(4, 2012, 103.5, 216.9)","(4, 2013, 129.8, 385.9)","(4, 2016, 95.6, 297.2)","(58, -1, 122.1, 346.7)","(0, -1, 100.3, 227.9)","(25, -1, 104.5, 382.2)","(4, -1, 95.0, 225.6)","(4, -1, 145.2, 401.1)","(4, -1, 93.7, 303.6)"
790,"(58, 2013, 123.2, 323.8)","(58, 2012, 80.0, 245.4)","(4, 2014, 83.9, 208.2)","(19, 2012, 129.0, 258.7)","(19, 2012, 73.6, 308.5)","(58, 2012, 118.9, 314.4)","(58, -1, 102.0, 296.4)","(58, -1, 81.6, 248.1)","(4, -1, 79.0, 199.6)","(19, -1, 135.9, 252.4)","(19, -1, 62.6, 276.9)","(58, -1, 130.6, 298.6)"
791,"(25, 2017, 96.5, 285.0)","(25, 2013, 65.7, 242.5)","(4, 2017, 173.6, 315.5)","(25, 2012, 63.9, 225.4)","(19, 2016, 97.8, 345.7)","(40, 2015, 88.1, 381.5)","(25, -1, 88.1, 277.1)","(25, -1, 59.5, 227.4)","(4, -1, 180.4, 348.0)","(25, -1, 68.2, 249.2)","(19, -1, 117.7, 361.6)","(40, -1, 96.2, 392.4)"
792,"(25, 2015, 79.3, 217.8)","(0, 2017, 122.5, 314.6)","(4, 2016, 95.1, 267.2)","(4, 2014, 83.1, 295.1)","(4, 2015, 127.9, 335.3)","(102, 2013, 105.8, 372.5)","(25, -1, 62.7, 185.4)","(0, -1, 110.0, 327.6)","(4, -1, 114.3, 248.4)","(4, -1, 86.6, 285.6)","(4, -1, 110.4, 336.9)","(102, -1, 114.5, 349.8)"
793,"(104, 2014, 74.3, 393.8)","(8, 2012, 95.0, 204.7)","(40, 2014, 44.5, 312.0)","(8, 2017, 105.0, 256.1)","(19, 2012, 101.2, 333.8)","(0, 2015, 133.4, 318.7)","(104, -1, 75.3, 377.0)","(8, -1, 87.4, 218.6)","(40, -1, 43.3, 278.1)","(8, -1, 113.0, 269.7)","(19, -1, 97.8, 302.4)","(0, -1, 136.6, 319.9)"
794,"(102, 2012, 111.8, 220.9)","(19, 2014, 82.1, 218.3)","(25, 2012, 75.0, 238.9)","(4, 2016, 115.1, 255.6)","(58, 2012, 54.4, 208.1)","(25, 2016, 106.0, 304.8)","(102, -1, 109.4, 261.5)","(19, -1, 78.2, 203.2)","(25, -1, 87.5, 243.2)","(4, -1, 133.2, 256.0)","(58, -1, 55.4, 227.6)","(25, -1, 110.9, 333.8)"
795,"(58, 2013, 105.8, 218.3)","(4, 2016, 163.1, 354.4)","(104, 2014, 64.6, 366.5)","(4, 2013, 90.7, 346.4)","(0, 2014, 140.6, 313.8)","(8, 2013, 105.1, 233.3)","(58, -1, 100.1, 213.3)","(4, -1, 187.2, 377.8)","(104, -1, 55.8, 319.3)","(4, -1, 85.2, 339.7)","(0, -1, 122.5, 317.7)","(8, -1, 112.6, 208.8)"
796,"(4, 2013, 116.2, 373.0)","(104, 2016, 110.2, 318.1)","(40, 2017, 94.4, 347.3)","(40, 2017, 81.1, 279.7)","(104, 2017, 97.7, 340.3)","(104, 2013, 127.2, 275.1)","(4, -1, 106.7, 392.9)","(104, -1, 101.2, 363.7)","(40, -1, 83.8, 373.3)","(40, -1, 79.8, 270.6)","(104, -1, 102.3, 323.5)","(104, -1, 118.2, 278.9)"
797,"(4, 2014, 93.3, 317.6)","(40, 2017, 85.8, 272.6)","(0, 2014, 80.1, 209.3)","(40, 2013, 58.2, 358.7)","(0, 2013, 78.5, 275.9)","(19, 2012, 108.0, 293.3)","(4, -1, 97.3, 341.5)","(40, -1, 82.8, 264.5)","(0, -1, 74.4, 241.5)","(40, -1, 65.4, 408.8)","(0, -1, 79.5, 304.0)","(19, -1, 98.2, 283.4)"
798,"(58, 2012, 75.9, 229.5)","(40, 2013, 101.1, 321.1)","(0, 2013, 87.1, 248.1)","(40, 2017, 72.3, 366.9)","(25, 2015, 104.2, 394.6)","(8, 2017, 173.5, 244.9)","(58, -1, 75.0, 265.0)","(40, -1, 100.1, 343.3)","(0, -1, 88.4, 243.3)","(40, -1, 72.1, 356.6)","(25, -1, 103.0, 418.5)","(8, -1, 162.5, 269.1)"
799,"(104, 2012, 41.3, 312.1)","(40, 2017, 66.9, 282.7)","(19, 2016, 87.6, 368.7)","(102, 2014, 95.6, 201.5)","(0, 2016, 99.6, 286.3)","(0, 2017, 163.8, 337.0)","(104, -1, 45.6, 314.8)","(40, -1, 74.9, 311.6)","(19, -1, 90.1, 364.8)","(102, -1, 104.1, 199.9)","(0, -1, 86.4, 244.5)","(0, -1, 143.1, 348.9)"
800,"(8, 2012, 144.1, 380.2)","(40, 2012, 97.5, 359.9)","(19, 2017, 108.4, 283.8)","(19, 2015, 153.4, 348.8)","(8, 2015, 87.7, 244.1)","(4, 2016, 102.9, 321.2)","(8, -1, 139.1, 340.2)","(40, -1, 123.2, 388.4)","(19, -1, 107.6, 329.2)","(19, -1, 153.3, 328.2)","(8, -1, 81.8, 245.6)","(4, -1, 100.4, 288.1)"
801,"(8, 2015, 93.9, 328.4)","(8, 2015, 67.5, 330.6)","(19, 2013, 55.2, 229.2)","(8, 2017, 82.9, 242.8)","(25, 2013, 120.4, 263.4)","(40, 2017, 108.0, 316.3)","(8, -1, 101.6, 371.4)","(8, -1, 77.4, 304.2)","(19, -1, 46.5, 207.4)","(8, -1, 81.8, 246.9)","(25, -1, 118.4, 271.8)","(40, -1, 125.0, 327.7)"
802,"(19, 2017, 147.7, 301.8)","(4, 2015, 120.2, 226.2)","(8, 2014, 119.5, 307.0)","(19, 2014, 97.8, 339.5)","(104, 2013, 93.5, 237.3)","(19, 2014, 101.7, 312.8)","(19, -1, 149.3, 282.6)","(4, -1, 137.1, 220.5)","(8, -1, 100.0, 325.5)","(19, -1, 98.0, 325.3)","(104, -1, 103.0, 230.1)","(19, -1, 84.5, 300.8)"
803,"(4, 2017, 109.2, 304.0)","(102, 2014, 90.6, 332.0)","(4, 2013, 105.2, 341.4)","(0, 2014, 91.5, 288.5)","(4, 2016, 103.5, 319.1)","(104, 2016, 80.4, 214.5)","(4, -1, 110.0, 274.0)","(102, -1, 103.7, 329.0)","(4, -1, 107.9, 380.1)","(0, -1, 85.5, 288.3)","(4, -1, 100.9, 313.9)","(104, -1, 72.8, 212.5)"
804,"(8, 2012, 112.9, 251.7)","(0, 2017, 134.1, 285.1)","(58, 2014, 83.8, 372.0)","(25, 2016, 120.2, 388.1)","(4, 2016, 91.7, 390.2)","(102, 2016, 106.8, 286.1)","(8, -1, 91.9, 230.2)","(0, -1, 138.2, 274.2)","(58, -1, 87.4, 366.6)","(25, -1, 110.7, 413.1)","(4, -1, 89.5, 392.1)","(102, -1, 111.6, 210.5)"
805,"(19, 2015, 114.9, 309.5)","(4, 2013, 112.4, 288.4)","(19, 2014, 111.8, 211.7)","(19, 2017, 79.7, 376.8)","(8, 2016, 110.1, 328.4)","(102, 2012, 78.8, 229.8)","(19, -1, 102.2, 332.8)","(4, -1, 120.1, 300.4)","(19, -1, 110.5, 200.8)","(19, -1, 68.3, 337.1)","(8, -1, 83.3, 319.3)","(102, -1, 75.2, 179.5)"
806,"(19, 2015, 68.8, 242.4)","(4, 2015, 80.5, 339.2)","(19, 2017, 92.5, 313.8)","(104, 2013, 119.0, 303.7)","(19, 2017, 34.9, 353.1)","(58, 2014, 105.8, 228.4)","(19, -1, 62.1, 222.0)","(4, -1, 71.2, 331.4)","(19, -1, 82.2, 296.9)","(104, -1, 111.6, 289.7)","(19, -1, 33.5, 384.4)","(58, -1, 93.2, 228.0)"
807,"(25, 2012, 101.6, 229.9)","(102, 2017, 132.9, 362.0)","(40, 2014, 85.2, 314.6)","(102, 2017, 127.8, 343.5)","(8, 2016, 126.2, 237.8)","(8, 2017, 92.8, 204.4)","(25, -1, 105.2, 250.2)","(102, -1, 143.8, 370.8)","(40, -1, 89.6, 307.8)","(102, -1, 127.7, 291.3)","(8, -1, 135.7, 211.2)","(8, -1, 97.2, 206.3)"
808,"(4, 2012, 105.5, 310.1)","(19, 2017, 78.6, 354.7)","(8, 2012, 100.3, 214.3)","(40, 2014, 76.7, 373.1)","(102, 2014, 148.7, 268.4)","(0, 2015, 46.8, 315.0)","(4, -1, 119.1, 322.3)","(19, -1, 66.7, 375.2)","(8, -1, 107.7, 217.1)","(40, -1, 75.3, 411.9)","(102, -1, 138.0, 287.2)","(0, -1, 53.0, 310.0)"
809,"(58, 2017, 107.4, 271.5)","(58, 2016, 131.2, 274.2)","(4, 2017, 56.9, 224.7)","(0, 2016, 120.4, 254.2)","(58, 2013, 73.6, 297.5)","(40, 2014, 73.4, 274.6)","(58, -1, 119.5, 250.1)","(58, -1, 121.4, 231.4)","(4, -1, 55.4, 249.3)","(0, -1, 120.7, 252.6)","(58, -1, 66.7, 259.4)","(40, -1, 68.1, 250.2)"
810,"(102, 2016, 115.4, 262.9)","(58, 2017, 115.4, 360.3)","(58, 2017, 119.0, 201.6)","(102, 2013, 132.6, 307.1)","(4, 2014, 138.7, 295.1)","(102, 2013, 72.5, 337.1)","(102, -1, 114.9, 305.0)","(58, -1, 116.0, 382.9)","(58, -1, 110.1, 204.7)","(102, -1, 147.5, 347.5)","(4, -1, 131.6, 302.9)","(102, -1, 69.0, 289.7)"
811,"(102, 2017, 108.2, 320.4)","(19, 2016, 113.2, 239.9)","(104, 2015, 163.8, 226.4)","(102, 2012, 105.2, 206.7)","(102, 2017, 42.7, 243.3)","(4, 2015, 62.7, 260.9)","(102, -1, 125.3, 319.1)","(19, -1, 122.3, 255.2)","(104, -1, 200.6, 209.4)","(102, -1, 123.4, 212.7)","(102, -1, 32.4, 245.8)","(4, -1, 60.9, 293.5)"
812,"(58, 2012, 94.1, 384.9)","(104, 2013, 81.7, 276.6)","(0, 2014, 154.0, 309.3)","(25, 2014, 70.5, 263.6)","(19, 2017, 67.0, 343.1)","(104, 2014, 81.3, 380.6)","(58, -1, 104.1, 419.9)","(104, -1, 89.7, 283.3)","(0, -1, 158.1, 343.8)","(25, -1, 74.2, 266.7)","(19, -1, 63.4, 370.3)","(104, -1, 85.3, 379.8)"
813,"(58, 2015, 85.7, 301.1)","(58, 2014, 36.6, 324.8)","(25, 2017, 129.7, 214.5)","(25, 2012, 82.7, 342.8)","(102, 2012, 102.1, 219.0)","(0, 2012, 85.6, 384.8)","(58, -1, 64.9, 262.3)","(58, -1, 41.2, 313.7)","(25, -1, 132.3, 225.1)","(25, -1, 87.9, 352.2)","(102, -1, 109.3, 202.6)","(0, -1, 75.2, 405.0)"
814,"(8, 2014, 124.1, 255.5)","(102, 2016, 109.5, 387.8)","(25, 2012, 86.6, 324.0)","(19, 2012, 75.3, 242.6)","(0, 2016, 98.2, 378.8)","(19, 2017, 50.7, 229.0)","(8, -1, 117.7, 232.3)","(102, -1, 113.9, 372.2)","(25, -1, 88.8, 348.4)","(19, -1, 70.9, 223.4)","(0, -1, 92.0, 363.3)","(19, -1, 45.8, 223.8)"
815,"(0, 2014, 100.4, 226.4)","(40, 2014, 99.5, 289.7)","(4, 2015, 109.5, 249.8)","(8, 2014, 100.4, 306.8)","(4, 2012, 67.2, 289.0)","(19, 2015, 143.4, 386.7)","(0, -1, 102.5, 230.7)","(40, -1, 91.4, 283.8)","(4, -1, 118.1, 217.9)","(8, -1, 105.4, 287.2)","(4, -1, 66.8, 297.9)","(19, -1, 166.7, 412.6)"
816,"(25, 2016, 121.2, 218.8)","(8, 2016, 90.2, 217.2)","(19, 2013, 91.6, 270.0)","(4, 2015, 112.4, 349.3)","(4, 2016, 30.2, 396.3)","(58, 2013, 90.1, 236.5)","(25, -1, 120.2, 226.3)","(8, -1, 107.6, 183.4)","(19, -1, 108.0, 237.8)","(4, -1, 115.1, 365.2)","(4, -1, 31.6, 356.1)","(58, -1, 66.4, 252.4)"
817,"(25, 2012, 90.9, 225.3)","(104, 2016, 112.2, 205.0)","(19, 2013, 95.7, 201.2)","(4, 2013, 70.8, 259.4)","(0, 2015, 54.3, 357.1)","(4, 2014, 89.4, 384.9)","(25, -1, 90.3, 214.4)","(104, -1, 116.8, 208.8)","(19, -1, 68.7, 182.0)","(4, -1, 76.8, 259.3)","(0, -1, 56.1, 323.1)","(4, -1, 77.6, 363.5)"
818,"(102, 2012, 112.0, 398.5)","(0, 2014, 111.6, 384.7)","(104, 2013, 105.8, 224.9)","(25, 2016, 102.5, 345.6)","(102, 2014, 111.8, 242.6)","(4, 2017, 81.6, 246.9)","(102, -1, 110.7, 397.7)","(0, -1, 112.3, 375.8)","(104, -1, 96.0, 230.2)","(25, -1, 94.5, 343.6)","(102, -1, 118.8, 257.2)","(4, -1, 86.9, 251.6)"
819,"(104, 2017, 131.0, 346.5)","(104, 2014, 34.2, 390.0)","(4, 2016, 61.7, 399.6)","(25, 2014, 68.1, 208.6)","(4, 2017, 138.7, 242.3)","(4, 2016, 140.9, 202.5)","(104, -1, 127.3, 296.0)","(104, -1, 35.9, 361.5)","(4, -1, 51.1, 434.3)","(25, -1, 70.2, 218.1)","(4, -1, 128.3, 258.8)","(4, -1, 144.3, 185.7)"
820,"(40, 2012, 125.1, 384.7)","(0, 2017, 124.7, 287.0)","(25, 2015, 101.1, 356.5)","(104, 2016, 88.1, 318.2)","(102, 2016, 128.2, 258.9)","(25, 2016, 116.8, 214.4)","(40, -1, 121.8, 409.5)","(0, -1, 119.8, 280.9)","(25, -1, 101.9, 372.7)","(104, -1, 98.5, 311.8)","(102, -1, 91.1, 265.7)","(25, -1, 123.1, 214.0)"
821,"(40, 2015, 91.8, 231.6)","(0, 2013, 118.3, 342.1)","(8, 2017, 79.1, 223.7)","(8, 2012, 94.5, 379.4)","(4, 2017, 120.8, 318.1)","(4, 2016, 97.2, 253.7)","(40, -1, 97.2, 242.5)","(0, -1, 124.2, 321.8)","(8, -1, 75.2, 189.7)","(8, -1, 81.0, 346.5)","(4, -1, 142.2, 321.0)","(4, -1, 114.1, 255.1)"
822,"(104, 2014, 74.8, 277.7)","(19, 2012, 80.3, 364.9)","(19, 2016, 107.1, 334.8)","(58, 2013, 70.3, 297.1)","(104, 2014, 32.9, 345.8)","(25, 2016, 129.6, 338.8)","(104, -1, 71.9, 285.7)","(19, -1, 72.6, 381.6)","(19, -1, 105.3, 370.7)","(58, -1, 71.6, 331.4)","(104, -1, 35.0, 346.4)","(25, -1, 123.6, 322.6)"
823,"(25, 2015, 87.5, 222.3)","(40, 2014, 80.9, 287.4)","(104, 2015, 81.0, 299.8)","(25, 2012, 56.5, 243.7)","(102, 2014, 91.1, 310.9)","(104, 2017, 91.8, 309.8)","(25, -1, 83.8, 221.8)","(40, -1, 84.5, 277.2)","(104, -1, 65.0, 298.5)","(25, -1, 51.8, 247.9)","(102, -1, 85.5, 274.3)","(104, -1, 88.4, 315.2)"
824,"(8, 2014, 103.9, 315.9)","(25, 2015, 59.6, 277.2)","(4, 2012, 80.5, 320.6)","(40, 2012, 123.3, 230.1)","(40, 2015, 89.2, 276.9)","(4, 2016, 63.1, 250.5)","(8, -1, 96.2, 342.4)","(25, -1, 73.9, 268.3)","(4, -1, 89.4, 315.1)","(40, -1, 153.0, 216.3)","(40, -1, 91.8, 287.4)","(4, -1, 62.9, 263.8)"
825,"(104, 2013, 68.1, 388.9)","(104, 2015, 77.6, 284.2)","(104, 2015, 127.8, 211.4)","(0, 2016, 89.0, 230.4)","(0, 2016, 93.6, 315.7)","(40, 2017, 67.5, 365.9)","(104, -1, 66.8, 391.0)","(104, -1, 68.6, 291.2)","(104, -1, 141.9, 203.2)","(0, -1, 85.2, 243.8)","(0, -1, 94.8, 349.3)","(40, -1, 70.2, 378.2)"
826,"(19, 2017, 73.6, 333.4)","(40, 2014, 144.8, 375.7)","(25, 2014, 113.4, 323.2)","(4, 2012, 97.4, 287.3)","(4, 2016, 131.4, 335.7)","(8, 2012, 96.8, 362.8)","(19, -1, 72.4, 371.2)","(40, -1, 159.7, 361.4)","(25, -1, 93.6, 319.7)","(4, -1, 99.8, 260.8)","(4, -1, 138.0, 356.3)","(8, -1, 86.3, 340.4)"
827,"(19, 2015, 103.3, 377.1)","(40, 2012, 93.8, 222.3)","(8, 2015, 90.0, 356.1)","(19, 2015, 94.7, 364.3)","(4, 2016, 129.3, 206.0)","(102, 2012, 112.7, 243.5)","(19, -1, 116.6, 423.1)","(40, -1, 95.0, 199.9)","(8, -1, 81.5, 357.4)","(19, -1, 99.6, 342.4)","(4, -1, 139.8, 196.3)","(102, -1, 106.6, 277.2)"
828,"(19, 2016, 96.0, 347.9)","(25, 2017, 117.3, 240.8)","(0, 2015, 97.2, 286.5)","(4, 2017, 105.2, 264.1)","(104, 2014, 93.3, 299.6)","(4, 2013, 94.5, 397.2)","(19, -1, 98.4, 360.8)","(25, -1, 109.1, 216.9)","(0, -1, 106.0, 300.1)","(4, -1, 87.3, 268.2)","(104, -1, 94.7, 288.9)","(4, -1, 110.1, 406.4)"
829,"(102, 2013, 135.2, 270.8)","(40, 2016, 88.3, 312.2)","(8, 2015, 68.9, 357.7)","(25, 2016, 81.0, 250.6)","(4, 2016, 86.4, 367.6)","(104, 2017, 132.5, 378.4)","(102, -1, 131.1, 237.1)","(40, -1, 93.8, 344.3)","(8, -1, 68.4, 351.8)","(25, -1, 76.4, 240.8)","(4, -1, 96.2, 375.5)","(104, -1, 130.6, 403.9)"
830,"(19, 2014, 97.7, 317.6)","(4, 2016, 82.4, 203.6)","(4, 2012, 53.5, 215.1)","(0, 2017, 134.8, 320.8)","(8, 2017, 48.7, 309.5)","(4, 2014, 126.7, 266.6)","(19, -1, 105.0, 256.6)","(4, -1, 78.6, 202.6)","(4, -1, 58.9, 215.5)","(0, -1, 133.0, 345.2)","(8, -1, 47.3, 287.3)","(4, -1, 119.6, 283.5)"
831,"(0, 2013, 125.1, 252.0)","(58, 2016, 77.4, 226.8)","(40, 2016, 92.4, 374.1)","(58, 2013, 94.2, 282.5)","(58, 2014, 96.8, 249.9)","(40, 2017, 79.2, 264.3)","(0, -1, 86.6, 250.8)","(58, -1, 82.5, 216.0)","(40, -1, 87.9, 413.3)","(58, -1, 96.9, 290.4)","(58, -1, 95.9, 264.3)","(40, -1, 82.7, 269.4)"
832,"(104, 2014, 79.8, 377.1)","(4, 2015, 93.9, 301.0)","(102, 2012, 51.2, 370.0)","(58, 2014, 81.9, 313.7)","(19, 2017, 111.2, 288.3)","(58, 2016, 103.1, 249.6)","(104, -1, 71.5, 425.3)","(4, -1, 92.6, 304.6)","(102, -1, 51.4, 372.4)","(58, -1, 81.4, 294.6)","(19, -1, 106.1, 308.7)","(58, -1, 83.3, 232.0)"
833,"(25, 2012, 115.1, 273.9)","(58, 2014, 74.5, 298.2)","(58, 2015, 94.2, 332.8)","(102, 2012, 126.3, 321.3)","(0, 2013, 105.5, 201.5)","(19, 2016, 47.4, 220.1)","(25, -1, 91.4, 285.8)","(58, -1, 74.3, 301.1)","(58, -1, 95.1, 325.7)","(102, -1, 143.4, 324.5)","(0, -1, 105.4, 210.4)","(19, -1, 47.9, 214.9)"
834,"(8, 2012, 111.9, 280.7)","(19, 2012, 85.6, 274.5)","(102, 2012, 82.4, 319.7)","(19, 2012, 65.9, 309.2)","(19, 2013, 77.0, 352.7)","(19, 2012, 102.9, 397.7)","(8, -1, 115.0, 280.4)","(19, -1, 76.5, 276.3)","(102, -1, 71.2, 327.7)","(19, -1, 63.4, 304.0)","(19, -1, 88.5, 353.3)","(19, -1, 116.7, 416.2)"
835,"(102, 2017, 98.4, 211.8)","(19, 2017, 123.2, 329.0)","(104, 2017, 42.2, 326.9)","(58, 2013, 45.7, 365.6)","(58, 2012, 115.9, 214.9)","(8, 2012, 60.0, 338.1)","(102, -1, 90.7, 217.5)","(19, -1, 119.4, 351.4)","(104, -1, 42.9, 328.6)","(58, -1, 49.0, 377.7)","(58, -1, 109.8, 211.7)","(8, -1, 54.8, 326.2)"
836,"(19, 2013, 94.6, 396.2)","(25, 2012, 138.2, 255.9)","(58, 2014, 83.1, 263.0)","(40, 2013, 148.2, 366.3)","(40, 2017, 119.7, 339.8)","(8, 2016, 93.4, 248.7)","(19, -1, 95.3, 331.6)","(25, -1, 145.2, 249.2)","(58, -1, 87.5, 266.0)","(40, -1, 189.6, 372.4)","(40, -1, 133.0, 347.1)","(8, -1, 99.3, 260.3)"
837,"(4, 2014, 77.8, 306.0)","(104, 2012, 105.6, 206.5)","(40, 2012, 86.6, 286.3)","(8, 2016, 85.9, 250.8)","(25, 2014, 114.4, 384.1)","(25, 2017, 107.8, 206.7)","(4, -1, 75.7, 308.6)","(104, -1, 111.6, 211.8)","(40, -1, 93.1, 255.0)","(8, -1, 93.6, 257.8)","(25, -1, 115.8, 445.6)","(25, -1, 100.5, 192.3)"
838,"(4, 2013, 138.2, 368.7)","(25, 2014, 90.1, 392.3)","(58, 2016, 94.9, 315.7)","(8, 2013, 133.5, 230.3)","(19, 2013, 110.2, 244.2)","(19, 2015, 73.6, 267.8)","(4, -1, 159.3, 379.6)","(25, -1, 111.7, 333.1)","(58, -1, 102.7, 314.9)","(8, -1, 131.3, 240.0)","(19, -1, 104.1, 237.6)","(19, -1, 74.7, 270.4)"
839,"(25, 2012, 73.7, 256.5)","(102, 2013, 74.9, 387.6)","(40, 2013, 59.5, 380.2)","(8, 2015, 72.1, 313.3)","(0, 2015, 86.4, 343.0)","(0, 2013, 57.8, 211.5)","(25, -1, 73.6, 250.7)","(102, -1, 76.7, 366.9)","(40, -1, 61.1, 417.4)","(8, -1, 69.7, 322.7)","(0, -1, 86.7, 329.7)","(0, -1, 60.2, 210.1)"
840,"(19, 2016, 153.7, 318.5)","(102, 2017, 86.6, 207.0)","(19, 2017, 70.7, 226.4)","(4, 2015, 107.1, 263.8)","(19, 2014, 117.4, 203.1)","(58, 2016, 91.1, 296.5)","(19, -1, 189.9, 297.5)","(102, -1, 84.5, 212.4)","(19, -1, 56.7, 208.2)","(4, -1, 96.0, 239.0)","(19, -1, 162.4, 212.6)","(58, -1, 82.7, 308.1)"
