Scenario no.,SB0,SB1,SB2,SB3,SB4,BM0,BM1,BM2,BM3,BM4
726,"(19, 2014, 95.3, 398.3)","(104, 2015, 67.8, 399.8)","(8, 2013, 101.9, 341.5)","(104, 2015, 53.9, 212.6)","(104, 2014, 134.1, 235.6)","(19, -1, 107.8, 396.1)","(104, -1, 67.7, 343.9)","(8, -1, 96.7, 335.5)","(104, -1, 49.0, 207.6)","(104, -1, 121.6, 220.2)"
727,"(104, 2016, 45.4, 358.9)","(8, 2016, 67.8, 331.1)","(40, 2017, 118.9, 254.0)","(58, 2014, 136.7, 239.0)","(40, 2015, 42.3, 243.0)","(104, -1, 47.3, 353.4)","(8, -1, 76.4, 334.4)","(40, -1, 128.4, 262.3)","(58, -1, 140.3, 254.3)","(40, -1, 44.1, 260.5)"
728,"(104, 2014, 95.1, 250.3)","(40, 2014, 70.4, 244.8)","(104, 2016, 128.5, 284.3)","(8, 2016, 80.7, 212.3)","(0, 2014, 70.5, 260.0)","(104, -1, 99.8, 228.6)","(40, -1, 56.1, 232.1)","(104, -1, 114.4, 319.4)","(8, -1, 87.9, 195.1)","(0, -1, 75.1, 266.2)"
729,"(8, 2016, 87.0, 225.3)","(0, 2015, 87.3, 221.8)","(8, 2015, 66.8, 395.2)","(0, 2012, 143.4, 361.3)","(104, 2014, 172.8, 362.3)","(8, -1, 84.5, 202.7)","(0, -1, 97.9, 232.3)","(8, -1, 70.1, 370.0)","(0, -1, 160.7, 407.7)","(104, -1, 137.1, 312.8)"
730,"(0, 2013, 144.7, 313.0)","(25, 2017, 87.8, 240.4)","(25, 2015, 74.5, 249.6)","(19, 2017, 93.8, 222.8)","(40, 2016, 110.7, 247.9)","(0, -1, 149.0, 323.4)","(25, -1, 92.7, 225.0)","(25, -1, 70.9, 241.7)","(19, -1, 107.8, 184.2)","(40, -1, 110.6, 231.0)"
731,"(8, 2014, 78.2, 232.4)","(25, 2013, 135.0, 246.4)","(0, 2013, 124.3, 239.6)","(40, 2013, 91.8, 258.4)","(40, 2013, 66.6, 221.0)","(8, -1, 74.4, 242.3)","(25, -1, 109.6, 207.8)","(0, -1, 107.2, 288.3)","(40, -1, 101.1, 309.7)","(40, -1, 70.8, 231.6)"
732,"(102, 2015, 84.8, 279.7)","(102, 2012, 75.8, 210.4)","(4, 2016, 35.8, 355.3)","(8, 2015, 44.1, 348.5)","(104, 2012, 79.6, 357.0)","(102, -1, 111.4, 299.5)","(102, -1, 85.7, 223.8)","(4, -1, 36.8, 379.2)","(8, -1, 47.1, 325.8)","(104, -1, 72.9, 395.3)"
733,"(102, 2015, 94.3, 220.6)","(104, 2016, 162.3, 280.5)","(4, 2015, 73.2, 270.6)","(19, 2016, 79.9, 327.3)","(8, 2014, 91.7, 324.9)","(102, -1, 96.6, 246.1)","(104, -1, 161.7, 289.2)","(4, -1, 79.3, 283.5)","(19, -1, 85.5, 300.1)","(8, -1, 93.2, 337.2)"
734,"(104, 2015, 104.0, 380.2)","(102, 2014, 100.1, 357.1)","(4, 2015, 100.1, 237.0)","(58, 2014, 110.4, 200.5)","(0, 2017, 65.0, 267.7)","(104, -1, 99.3, 342.1)","(102, -1, 114.2, 396.2)","(4, -1, 87.9, 230.3)","(58, -1, 100.5, 214.8)","(0, -1, 58.3, 287.5)"
735,"(104, 2014, 133.1, 375.1)","(25, 2014, 100.5, 237.7)","(58, 2013, 137.9, 312.2)","(58, 2012, 148.0, 292.3)","(4, 2012, 119.6, 298.4)","(104, -1, 120.0, 382.9)","(25, -1, 108.7, 269.4)","(58, -1, 165.5, 313.8)","(58, -1, 140.1, 304.3)","(4, -1, 114.7, 270.2)"
736,"(19, 2017, 57.4, 342.9)","(0, 2014, 122.4, 203.7)","(102, 2017, 82.6, 346.8)","(4, 2013, 86.5, 343.8)","(102, 2013, 84.9, 234.1)","(19, -1, 58.4, 324.9)","(0, -1, 104.4, 185.9)","(102, -1, 79.2, 344.4)","(4, -1, 99.5, 337.0)","(102, -1, 87.8, 230.0)"
737,"(4, 2016, 112.6, 201.5)","(40, 2013, 48.7, 366.5)","(40, 2014, 93.7, 311.9)","(58, 2016, 74.1, 281.1)","(102, 2012, 80.5, 275.8)","(4, -1, 118.5, 213.1)","(40, -1, 49.9, 329.7)","(40, -1, 104.2, 314.2)","(58, -1, 68.4, 235.6)","(102, -1, 67.5, 250.9)"
738,"(102, 2012, 99.3, 372.4)","(104, 2015, 90.5, 320.4)","(25, 2014, 118.6, 300.8)","(40, 2017, 78.1, 252.7)","(104, 2015, 135.3, 298.5)","(102, -1, 85.0, 393.9)","(104, -1, 77.4, 333.3)","(25, -1, 115.5, 269.7)","(40, -1, 69.3, 242.9)","(104, -1, 143.7, 319.3)"
739,"(58, 2012, 108.6, 202.2)","(104, 2013, 97.0, 323.4)","(40, 2016, 84.4, 374.3)","(104, 2017, 126.9, 240.2)","(104, 2015, 125.7, 310.0)","(58, -1, 115.2, 201.3)","(104, -1, 102.2, 305.8)","(40, -1, 90.4, 379.0)","(104, -1, 120.5, 275.2)","(104, -1, 118.7, 313.4)"
740,"(25, 2014, 128.4, 386.3)","(40, 2012, 89.0, 377.5)","(8, 2012, 90.3, 236.3)","(4, 2017, 96.9, 365.6)","(4, 2016, 70.6, 260.7)","(25, -1, 142.0, 434.2)","(40, -1, 80.6, 397.5)","(8, -1, 95.5, 270.1)","(4, -1, 109.5, 351.2)","(4, -1, 75.7, 279.0)"
741,"(102, 2012, 66.1, 233.1)","(102, 2017, 112.7, 227.7)","(0, 2015, 107.7, 389.6)","(58, 2017, 68.6, 299.8)","(19, 2012, 104.6, 327.1)","(102, -1, 53.5, 231.7)","(102, -1, 104.5, 241.9)","(0, -1, 110.2, 397.4)","(58, -1, 77.2, 312.0)","(19, -1, 99.4, 361.7)"
742,"(8, 2012, 135.3, 247.4)","(4, 2016, 166.8, 345.2)","(4, 2013, 71.2, 258.8)","(0, 2017, 129.6, 270.3)","(102, 2014, 113.9, 221.5)","(8, -1, 126.5, 220.2)","(4, -1, 175.1, 385.0)","(4, -1, 51.3, 237.3)","(0, -1, 117.9, 277.4)","(102, -1, 112.9, 226.4)"
743,"(102, 2017, 86.6, 227.9)","(0, 2014, 140.2, 255.3)","(19, 2015, 122.3, 233.8)","(58, 2017, 90.8, 317.2)","(25, 2014, 69.7, 371.0)","(102, -1, 91.5, 217.3)","(0, -1, 165.6, 253.9)","(19, -1, 144.9, 239.3)","(58, -1, 100.6, 368.7)","(25, -1, 64.3, 390.2)"
744,"(104, 2016, 84.4, 265.4)","(4, 2016, 105.1, 267.6)","(25, 2012, 52.2, 241.3)","(40, 2017, 148.2, 342.8)","(25, 2012, 64.0, 275.9)","(104, -1, 79.4, 267.6)","(4, -1, 101.0, 297.1)","(25, -1, 43.2, 244.6)","(40, -1, 145.2, 380.6)","(25, -1, 60.3, 280.0)"
745,"(8, 2015, 80.8, 219.6)","(58, 2017, 118.0, 221.9)","(19, 2013, 131.6, 369.5)","(8, 2012, 137.0, 208.8)","(8, 2016, 111.8, 282.4)","(8, -1, 78.9, 237.2)","(58, -1, 131.6, 204.5)","(19, -1, 116.3, 351.0)","(8, -1, 139.4, 230.3)","(8, -1, 102.8, 312.8)"
746,"(19, 2012, 136.2, 322.1)","(0, 2015, 33.9, 318.2)","(0, 2015, 117.8, 352.1)","(58, 2012, 173.0, 265.9)","(25, 2013, 89.4, 394.3)","(19, -1, 120.9, 330.5)","(0, -1, 35.8, 350.5)","(0, -1, 112.8, 371.4)","(58, -1, 170.8, 259.0)","(25, -1, 82.6, 388.2)"
747,"(19, 2014, 97.2, 358.0)","(0, 2017, 90.8, 285.3)","(0, 2016, 122.2, 225.9)","(104, 2013, 139.4, 318.4)","(104, 2015, 133.4, 307.6)","(19, -1, 106.5, 374.6)","(0, -1, 84.9, 260.6)","(0, -1, 130.4, 229.5)","(104, -1, 130.8, 348.3)","(104, -1, 130.4, 311.4)"
748,"(8, 2016, 117.4, 239.4)","(25, 2017, 141.5, 350.6)","(25, 2016, 117.5, 218.3)","(104, 2014, 109.4, 236.5)","(40, 2015, 111.5, 361.3)","(8, -1, 132.3, 244.9)","(25, -1, 128.6, 375.1)","(25, -1, 124.4, 212.3)","(104, -1, 99.9, 235.3)","(40, -1, 113.3, 330.5)"
749,"(104, 2014, 107.3, 376.1)","(8, 2014, 130.6, 259.8)","(58, 2013, 106.0, 285.7)","(58, 2017, 121.8, 232.9)","(0, 2015, 133.7, 208.1)","(104, -1, 106.4, 417.6)","(8, -1, 118.7, 251.1)","(58, -1, 112.3, 284.8)","(58, -1, 141.0, 216.4)","(0, -1, 128.8, 240.3)"
750,"(4, 2015, 171.4, 225.4)","(40, 2013, 116.1, 255.7)","(19, 2015, 111.2, 299.8)","(19, 2013, 67.9, 348.6)","(25, 2015, 81.3, 206.2)","(4, -1, 155.1, 211.7)","(40, -1, 122.5, 286.8)","(19, -1, 131.9, 266.4)","(19, -1, 69.9, 363.6)","(25, -1, 76.6, 230.0)"
751,"(4, 2017, 75.6, 292.5)","(8, 2012, 100.1, 337.0)","(25, 2015, 111.9, 287.2)","(104, 2012, 104.4, 298.8)","(4, 2017, 94.7, 392.6)","(4, -1, 65.4, 261.8)","(8, -1, 89.1, 354.4)","(25, -1, 108.0, 254.5)","(104, -1, 104.5, 288.1)","(4, -1, 99.0, 374.9)"
752,"(19, 2014, 105.2, 255.4)","(0, 2014, 90.8, 206.1)","(102, 2014, 120.7, 386.0)","(104, 2016, 88.1, 234.0)","(8, 2014, 99.7, 263.6)","(19, -1, 103.5, 241.8)","(0, -1, 94.5, 199.4)","(102, -1, 143.9, 405.1)","(104, -1, 95.2, 236.1)","(8, -1, 98.6, 232.9)"
753,"(4, 2012, 75.2, 316.6)","(58, 2017, 104.2, 301.2)","(104, 2013, 108.8, 206.5)","(8, 2013, 157.2, 377.0)","(104, 2016, 68.2, 283.2)","(4, -1, 78.3, 288.3)","(58, -1, 101.4, 280.2)","(104, -1, 105.3, 213.3)","(8, -1, 164.3, 398.0)","(104, -1, 60.0, 267.7)"
754,"(4, 2015, 102.3, 298.9)","(102, 2014, 111.7, 207.6)","(25, 2015, 120.4, 296.3)","(25, 2013, 97.4, 309.1)","(8, 2012, 112.9, 255.3)","(4, -1, 123.2, 292.1)","(102, -1, 111.4, 190.3)","(25, -1, 99.7, 286.4)","(25, -1, 107.1, 305.0)","(8, -1, 104.8, 305.2)"
755,"(25, 2016, 105.6, 295.1)","(102, 2016, 108.1, 224.7)","(19, 2016, 108.5, 394.4)","(25, 2014, 104.5, 202.6)","(102, 2016, 73.4, 375.7)","(25, -1, 105.1, 299.4)","(102, -1, 110.7, 242.1)","(19, -1, 114.7, 388.0)","(25, -1, 105.1, 186.8)","(102, -1, 71.0, 378.7)"
756,"(0, 2012, 70.4, 316.7)","(25, 2012, 74.4, 218.2)","(25, 2016, 89.2, 267.2)","(104, 2013, 75.6, 241.5)","(102, 2017, 59.6, 224.8)","(0, -1, 75.8, 327.8)","(25, -1, 83.9, 238.8)","(25, -1, 92.4, 241.1)","(104, -1, 91.0, 238.8)","(102, -1, 66.1, 213.3)"
757,"(104, 2017, 142.4, 362.6)","(40, 2013, 98.5, 260.3)","(58, 2016, 98.5, 210.9)","(8, 2014, 101.2, 227.2)","(104, 2013, 114.4, 304.9)","(104, -1, 128.9, 360.7)","(40, -1, 81.8, 273.5)","(58, -1, 99.2, 198.2)","(8, -1, 97.6, 230.4)","(104, -1, 95.0, 330.5)"
758,"(104, 2016, 114.9, 395.8)","(104, 2012, 107.9, 244.5)","(0, 2015, 119.5, 289.9)","(0, 2013, 121.4, 307.1)","(4, 2014, 117.1, 398.4)","(104, -1, 100.0, 442.0)","(104, -1, 104.0, 253.6)","(0, -1, 105.7, 286.7)","(0, -1, 125.4, 341.6)","(4, -1, 96.3, 403.5)"
759,"(0, 2017, 72.5, 375.1)","(40, 2015, 73.5, 351.2)","(104, 2015, 108.8, 237.6)","(19, 2014, 119.0, 280.5)","(0, 2014, 87.7, 348.9)","(0, -1, 73.4, 359.9)","(40, -1, 79.8, 345.5)","(104, -1, 91.3, 260.9)","(19, -1, 103.5, 296.6)","(0, -1, 95.9, 359.0)"
760,"(25, 2016, 117.4, 396.3)","(8, 2012, 46.8, 378.3)","(4, 2014, 116.3, 390.2)","(104, 2014, 69.2, 206.3)","(25, 2015, 90.7, 285.6)","(25, -1, 127.9, 335.4)","(8, -1, 39.0, 363.7)","(4, -1, 92.4, 414.1)","(104, -1, 67.8, 201.0)","(25, -1, 107.0, 259.9)"
761,"(4, 2013, 89.6, 326.5)","(58, 2017, 84.8, 256.9)","(4, 2013, 111.7, 213.4)","(8, 2017, 130.6, 391.6)","(19, 2014, 99.4, 200.8)","(4, -1, 71.1, 328.7)","(58, -1, 77.3, 253.4)","(4, -1, 109.7, 213.0)","(8, -1, 127.0, 394.0)","(19, -1, 103.8, 189.7)"
762,"(0, 2012, 89.6, 202.6)","(25, 2014, 98.9, 205.1)","(40, 2012, 89.6, 319.9)","(19, 2015, 80.3, 271.6)","(104, 2016, 90.0, 389.2)","(0, -1, 100.8, 188.3)","(25, -1, 115.8, 211.3)","(40, -1, 82.1, 299.6)","(19, -1, 78.9, 257.4)","(104, -1, 91.9, 327.1)"
763,"(102, 2015, 98.3, 273.4)","(104, 2016, 76.9, 367.5)","(104, 2017, 71.3, 273.1)","(8, 2015, 76.0, 326.6)","(40, 2014, 127.1, 394.0)","(102, -1, 101.5, 279.3)","(104, -1, 78.5, 365.8)","(104, -1, 71.2, 240.5)","(8, -1, 65.4, 321.8)","(40, -1, 113.4, 422.8)"
764,"(19, 2017, 120.5, 392.4)","(102, 2014, 101.1, 275.4)","(58, 2012, 101.4, 270.4)","(19, 2014, 71.7, 330.0)","(40, 2017, 114.5, 216.5)","(19, -1, 119.1, 432.1)","(102, -1, 99.4, 266.7)","(58, -1, 105.2, 247.1)","(19, -1, 79.2, 310.7)","(40, -1, 115.9, 231.6)"
765,"(40, 2013, 112.6, 284.5)","(25, 2014, 60.3, 236.9)","(19, 2013, 157.1, 203.0)","(8, 2017, 110.9, 357.3)","(4, 2015, 131.0, 260.9)","(40, -1, 121.4, 297.4)","(25, -1, 67.5, 254.9)","(19, -1, 167.3, 200.8)","(8, -1, 131.8, 341.0)","(4, -1, 132.4, 269.6)"
766,"(58, 2015, 60.4, 371.4)","(0, 2016, 165.4, 337.1)","(0, 2017, 108.2, 389.3)","(58, 2016, 136.2, 360.3)","(19, 2014, 104.6, 350.6)","(58, -1, 63.5, 346.9)","(0, -1, 151.0, 384.3)","(0, -1, 114.6, 435.1)","(58, -1, 133.0, 382.0)","(19, -1, 108.2, 329.4)"
767,"(104, 2014, 84.2, 201.3)","(19, 2017, 94.4, 326.2)","(19, 2016, 93.7, 275.3)","(102, 2014, 66.4, 274.9)","(25, 2013, 99.9, 217.3)","(104, -1, 93.1, 199.1)","(19, -1, 88.7, 319.0)","(19, -1, 103.2, 318.0)","(102, -1, 61.6, 266.3)","(25, -1, 116.8, 215.6)"
768,"(104, 2015, 77.5, 308.1)","(58, 2012, 104.9, 210.0)","(58, 2012, 100.9, 331.2)","(102, 2015, 104.8, 225.0)","(8, 2012, 65.0, 271.0)","(104, -1, 78.5, 271.8)","(58, -1, 106.7, 237.9)","(58, -1, 81.4, 305.5)","(102, -1, 94.2, 216.3)","(8, -1, 77.0, 283.9)"
769,"(40, 2012, 152.4, 260.8)","(25, 2013, 146.4, 229.2)","(0, 2015, 83.8, 399.6)","(40, 2017, 96.3, 331.0)","(58, 2016, 82.8, 221.0)","(40, -1, 164.8, 232.9)","(25, -1, 160.5, 254.7)","(0, -1, 72.9, 402.4)","(40, -1, 104.6, 384.9)","(58, -1, 81.6, 219.0)"
770,"(58, 2015, 41.7, 281.7)","(104, 2014, 99.1, 272.7)","(40, 2014, 96.2, 349.3)","(8, 2015, 128.3, 221.7)","(19, 2012, 84.0, 323.1)","(58, -1, 43.9, 315.3)","(104, -1, 102.1, 277.7)","(40, -1, 112.3, 322.0)","(8, -1, 130.2, 201.2)","(19, -1, 91.0, 305.0)"
771,"(102, 2013, 110.5, 307.7)","(19, 2014, 148.0, 316.9)","(40, 2016, 100.1, 329.9)","(4, 2013, 127.2, 317.9)","(4, 2016, 96.1, 338.6)","(102, -1, 113.5, 278.3)","(19, -1, 156.0, 310.1)","(40, -1, 87.3, 292.8)","(4, -1, 128.3, 323.3)","(4, -1, 84.8, 369.8)"
772,"(0, 2012, 71.2, 295.3)","(25, 2016, 86.9, 323.9)","(19, 2016, 148.6, 293.4)","(19, 2014, 104.6, 312.1)","(25, 2012, 60.8, 339.0)","(0, -1, 66.5, 286.8)","(25, -1, 92.2, 301.8)","(19, -1, 131.5, 288.7)","(19, -1, 110.2, 301.3)","(25, -1, 67.4, 333.4)"
773,"(19, 2016, 99.4, 355.8)","(40, 2013, 75.2, 322.8)","(104, 2015, 120.1, 363.8)","(4, 2017, 133.0, 291.4)","(19, 2015, 99.4, 389.0)","(19, -1, 111.7, 282.9)","(40, -1, 75.1, 330.2)","(104, -1, 97.9, 327.6)","(4, -1, 139.3, 253.9)","(19, -1, 89.8, 428.2)"
774,"(0, 2014, 93.9, 207.8)","(58, 2016, 125.4, 317.9)","(25, 2013, 91.1, 284.7)","(102, 2013, 96.1, 220.3)","(58, 2017, 106.4, 305.3)","(0, -1, 85.0, 228.9)","(58, -1, 137.0, 318.9)","(25, -1, 91.4, 268.6)","(102, -1, 85.5, 223.1)","(58, -1, 95.9, 320.2)"
775,"(40, 2016, 109.5, 211.3)","(58, 2017, 67.0, 282.0)","(0, 2016, 50.4, 351.1)","(102, 2012, 139.8, 215.4)","(102, 2015, 145.3, 241.6)","(40, -1, 112.9, 220.9)","(58, -1, 68.9, 299.2)","(0, -1, 47.0, 397.4)","(102, -1, 156.1, 196.5)","(102, -1, 137.8, 224.5)"
776,"(4, 2016, 118.6, 284.3)","(0, 2016, 111.3, 382.2)","(8, 2013, 50.4, 223.7)","(58, 2017, 129.3, 332.5)","(58, 2017, 104.5, 377.1)","(4, -1, 130.0, 268.5)","(0, -1, 122.9, 319.3)","(8, -1, 52.2, 220.4)","(58, -1, 138.8, 329.6)","(58, -1, 94.1, 387.5)"
777,"(102, 2014, 96.1, 279.9)","(25, 2017, 89.4, 311.1)","(19, 2015, 114.3, 279.6)","(19, 2015, 143.3, 393.2)","(40, 2015, 114.4, 201.7)","(102, -1, 90.5, 255.7)","(25, -1, 94.5, 316.8)","(19, -1, 88.8, 260.8)","(19, -1, 156.8, 398.5)","(40, -1, 126.6, 200.0)"
778,"(4, 2012, 126.1, 391.6)","(0, 2015, 131.6, 304.7)","(4, 2013, 68.0, 309.1)","(8, 2016, 119.0, 341.0)","(40, 2013, 139.5, 354.0)","(4, -1, 128.1, 406.8)","(0, -1, 163.1, 347.5)","(4, -1, 72.9, 285.0)","(8, -1, 111.6, 363.0)","(40, -1, 146.6, 323.5)"
779,"(25, 2012, 110.7, 349.2)","(8, 2012, 81.3, 306.0)","(58, 2013, 115.8, 327.2)","(25, 2014, 99.3, 252.3)","(4, 2014, 104.4, 329.5)","(25, -1, 99.3, 301.2)","(8, -1, 76.0, 322.1)","(58, -1, 122.5, 335.1)","(25, -1, 106.9, 242.6)","(4, -1, 102.6, 356.6)"
780,"(0, 2017, 78.9, 213.9)","(102, 2017, 118.0, 255.6)","(104, 2012, 139.1, 204.4)","(8, 2017, 110.5, 257.4)","(104, 2014, 120.8, 220.1)","(0, -1, 89.8, 230.6)","(102, -1, 140.7, 240.3)","(104, -1, 130.5, 216.5)","(8, -1, 103.3, 255.4)","(104, -1, 122.2, 231.7)"
781,"(40, 2017, 125.7, 210.6)","(19, 2017, 84.0, 336.8)","(8, 2017, 54.0, 366.1)","(8, 2013, 103.5, 292.8)","(58, 2012, 73.6, 302.7)","(40, -1, 139.4, 213.2)","(19, -1, 59.2, 337.3)","(8, -1, 58.9, 388.3)","(8, -1, 110.0, 278.4)","(58, -1, 87.7, 350.9)"
782,"(104, 2015, 89.6, 279.6)","(4, 2014, 98.2, 215.2)","(25, 2017, 90.6, 277.4)","(4, 2017, 92.8, 385.5)","(19, 2014, 132.7, 225.0)","(104, -1, 79.9, 260.9)","(4, -1, 101.4, 240.8)","(25, -1, 94.7, 317.6)","(4, -1, 116.0, 389.0)","(19, -1, 118.8, 218.7)"
783,"(102, 2017, 104.2, 340.3)","(19, 2013, 97.3, 257.2)","(0, 2017, 97.8, 256.8)","(102, 2013, 78.2, 329.1)","(19, 2013, 75.1, 236.2)","(102, -1, 109.0, 340.6)","(19, -1, 98.2, 260.2)","(0, -1, 89.2, 280.4)","(102, -1, 65.8, 334.2)","(19, -1, 74.0, 233.5)"
784,"(0, 2014, 114.2, 354.2)","(104, 2014, 77.3, 352.4)","(19, 2012, 85.7, 320.0)","(102, 2014, 96.7, 251.3)","(25, 2012, 131.2, 396.0)","(0, -1, 123.1, 365.9)","(104, -1, 64.9, 358.3)","(19, -1, 81.7, 322.0)","(102, -1, 82.1, 230.8)","(25, -1, 133.5, 369.5)"
785,"(4, 2013, 91.6, 224.7)","(58, 2017, 80.6, 346.1)","(25, 2015, 63.4, 297.8)","(19, 2014, 84.5, 235.0)","(58, 2013, 102.0, 276.1)","(4, -1, 81.8, 206.8)","(58, -1, 81.7, 339.5)","(25, -1, 57.0, 326.6)","(19, -1, 85.8, 238.1)","(58, -1, 109.2, 224.7)"
786,"(58, 2015, 81.5, 211.7)","(25, 2017, 62.8, 277.0)","(8, 2013, 101.3, 238.4)","(102, 2017, 134.4, 301.7)","(19, 2015, 142.8, 322.7)","(58, -1, 77.9, 213.3)","(25, -1, 60.9, 298.1)","(8, -1, 90.4, 245.5)","(102, -1, 117.4, 309.1)","(19, -1, 150.7, 338.2)"
787,"(4, 2014, 93.3, 225.0)","(0, 2013, 83.4, 257.5)","(58, 2014, 117.3, 267.8)","(4, 2012, 103.2, 330.7)","(40, 2013, 101.3, 365.7)","(4, -1, 77.2, 209.9)","(0, -1, 79.6, 234.5)","(58, -1, 108.5, 282.5)","(4, -1, 125.5, 345.3)","(40, -1, 105.4, 356.1)"
788,"(25, 2015, 97.4, 292.2)","(58, 2013, 121.5, 294.8)","(19, 2016, 97.9, 391.1)","(4, 2016, 75.0, 299.5)","(102, 2012, 77.0, 315.9)","(25, -1, 99.9, 272.7)","(58, -1, 132.0, 283.7)","(19, -1, 89.2, 410.2)","(4, -1, 71.7, 262.0)","(102, -1, 81.9, 272.5)"
789,"(102, 2013, 123.8, 367.8)","(104, 2013, 42.4, 282.5)","(0, 2017, 116.2, 251.2)","(0, 2015, 91.5, 331.7)","(8, 2017, 121.2, 267.9)","(102, -1, 128.8, 360.4)","(104, -1, 46.9, 290.7)","(0, -1, 122.5, 243.1)","(0, -1, 105.6, 318.9)","(8, -1, 125.4, 275.8)"
790,"(58, 2015, 122.7, 244.5)","(4, 2015, 78.7, 334.2)","(40, 2013, 114.5, 303.3)","(4, 2013, 124.1, 236.5)","(102, 2016, 96.5, 327.2)","(58, -1, 135.8, 267.8)","(4, -1, 90.3, 341.5)","(40, -1, 104.7, 295.7)","(4, -1, 109.6, 203.6)","(102, -1, 92.0, 320.6)"
791,"(19, 2014, 78.2, 310.4)","(19, 2015, 112.1, 238.3)","(8, 2014, 73.6, 258.0)","(25, 2017, 94.3, 308.4)","(40, 2017, 110.5, 223.7)","(19, -1, 70.5, 317.8)","(19, -1, 129.9, 244.5)","(8, -1, 79.1, 270.6)","(25, -1, 102.6, 317.0)","(40, -1, 120.0, 227.0)"
792,"(25, 2014, 105.1, 245.5)","(58, 2012, 93.5, 354.2)","(104, 2013, 121.5, 262.9)","(0, 2017, 99.9, 305.1)","(58, 2013, 101.8, 353.3)","(25, -1, 100.1, 235.3)","(58, -1, 86.8, 390.9)","(104, -1, 116.2, 275.0)","(0, -1, 87.0, 302.6)","(58, -1, 100.2, 344.0)"
793,"(102, 2016, 106.7, 233.5)","(58, 2013, 69.6, 317.1)","(40, 2012, 69.6, 234.1)","(25, 2017, 113.1, 275.2)","(102, 2013, 101.8, 299.2)","(102, -1, 124.2, 179.8)","(58, -1, 71.8, 313.3)","(40, -1, 60.5, 206.2)","(25, -1, 99.2, 290.7)","(102, -1, 106.4, 255.3)"
794,"(19, 2015, 84.1, 330.3)","(58, 2015, 144.9, 382.8)","(19, 2016, 75.2, 237.7)","(102, 2017, 100.1, 271.0)","(104, 2015, 114.4, 379.3)","(19, -1, 80.1, 355.6)","(58, -1, 129.7, 377.9)","(19, -1, 61.3, 275.7)","(102, -1, 99.7, 261.2)","(104, -1, 111.2, 348.4)"
795,"(25, 2012, 130.7, 330.0)","(104, 2013, 133.8, 317.9)","(8, 2014, 61.2, 261.4)","(58, 2013, 94.3, 400.0)","(58, 2012, 112.6, 283.8)","(25, -1, 141.7, 309.2)","(104, -1, 121.9, 337.7)","(8, -1, 65.1, 264.6)","(58, -1, 85.9, 430.6)","(58, -1, 94.6, 257.6)"
796,"(40, 2013, 132.1, 278.5)","(102, 2013, 144.9, 250.5)","(104, 2015, 47.7, 357.3)","(8, 2012, 123.5, 357.2)","(8, 2015, 98.9, 253.5)","(40, -1, 129.4, 273.3)","(102, -1, 147.9, 209.3)","(104, -1, 48.4, 316.7)","(8, -1, 124.7, 395.6)","(8, -1, 105.7, 249.0)"
797,"(0, 2016, 87.2, 314.9)","(104, 2017, 71.4, 388.2)","(4, 2017, 97.4, 246.2)","(102, 2016, 75.5, 219.9)","(40, 2012, 141.0, 273.8)","(0, -1, 74.6, 323.0)","(104, -1, 65.3, 385.7)","(4, -1, 92.2, 235.9)","(102, -1, 84.2, 236.9)","(40, -1, 127.9, 270.1)"
798,"(102, 2012, 108.6, 203.0)","(40, 2016, 107.3, 253.0)","(58, 2017, 76.6, 298.7)","(8, 2017, 83.3, 229.9)","(102, 2014, 104.7, 370.7)","(102, -1, 105.6, 222.3)","(40, -1, 120.4, 253.2)","(58, -1, 75.6, 304.0)","(8, -1, 86.0, 251.0)","(102, -1, 123.7, 355.4)"
799,"(102, 2017, 102.7, 375.5)","(25, 2017, 69.4, 373.0)","(19, 2016, 89.9, 352.5)","(19, 2013, 76.6, 250.9)","(40, 2016, 70.0, 338.4)","(102, -1, 107.5, 387.3)","(25, -1, 73.3, 349.4)","(19, -1, 94.3, 389.0)","(19, -1, 75.1, 243.3)","(40, -1, 66.1, 318.4)"
800,"(40, 2017, 93.7, 217.5)","(58, 2016, 67.3, 329.9)","(4, 2015, 113.2, 274.2)","(8, 2012, 80.6, 336.4)","(0, 2015, 111.7, 229.3)","(40, -1, 96.2, 238.7)","(58, -1, 78.0, 320.5)","(4, -1, 115.8, 255.0)","(8, -1, 82.7, 326.3)","(0, -1, 122.2, 254.0)"
801,"(8, 2015, 83.3, 376.2)","(40, 2015, 70.9, 345.1)","(8, 2013, 86.3, 387.6)","(0, 2012, 124.1, 358.4)","(19, 2016, 91.2, 311.8)","(8, -1, 62.9, 342.9)","(40, -1, 77.2, 352.3)","(8, -1, 88.2, 368.1)","(0, -1, 116.4, 390.0)","(19, -1, 101.5, 365.7)"
802,"(104, 2013, 87.0, 326.3)","(19, 2015, 97.7, 267.1)","(4, 2013, 128.1, 396.1)","(0, 2013, 107.0, 259.5)","(58, 2017, 84.0, 368.2)","(104, -1, 83.6, 336.7)","(19, -1, 91.3, 274.0)","(4, -1, 120.3, 363.0)","(0, -1, 95.2, 241.4)","(58, -1, 91.2, 359.8)"
