Scenario no.,SB0,SB1,SB2,SB3,SB4,SB5,SB6,SB7,SB8,SB9,SB10,SB11
416,"(40, 2012)","(40, 2017)","(19, 2014)","(8, 2012)","(104, 2012)","(102, 2014)","(102, 2013)","(0, 2013)","(25, 2015)","(58, 2013)","(0, 2017)","(104, 2014)"
417,"(58, 2015)","(0, 2013)","(8, 2015)","(8, 2015)","(4, 2012)","(104, 2012)","(40, 2013)","(0, 2014)","(102, 2012)","(4, 2013)","(19, 2017)","(0, 2015)"
418,"(104, 2012)","(25, 2016)","(4, 2017)","(25, 2013)","(104, 2016)","(58, 2016)","(102, 2015)","(104, 2014)","(19, 2016)","(4, 2015)","(8, 2016)","(58, 2016)"
419,"(58, 2015)","(40, 2015)","(25, 2014)","(8, 2014)","(25, 2015)","(58, 2015)","(8, 2016)","(104, 2012)","(25, 2014)","(19, 2013)","(19, 2016)","(0, 2017)"
420,"(40, 2016)","(0, 2012)","(102, 2017)","(58, 2015)","(58, 2013)","(8, 2015)","(102, 2014)","(0, 2013)","(25, 2017)","(104, 2013)","(58, 2017)","(4, 2017)"
421,"(102, 2013)","(40, 2015)","(0, 2016)","(104, 2015)","(8, 2015)","(104, 2016)","(104, 2013)","(8, 2017)","(40, 2017)","(8, 2014)","(19, 2017)","(8, 2017)"
422,"(0, 2015)","(25, 2014)","(19, 2014)","(8, 2016)","(102, 2017)","(4, 2015)","(58, 2016)","(104, 2014)","(4, 2015)","(40, 2014)","(4, 2015)","(102, 2012)"
423,"(104, 2012)","(8, 2017)","(19, 2015)","(102, 2014)","(25, 2013)","(0, 2013)","(0, 2015)","(58, 2016)","(58, 2014)","(19, 2015)","(0, 2015)","(25, 2015)"
424,"(19, 2015)","(19, 2017)","(58, 2015)","(8, 2012)","(58, 2014)","(0, 2016)","(0, 2015)","(4, 2014)","(104, 2015)","(40, 2012)","(4, 2016)","(8, 2015)"
425,"(40, 2012)","(19, 2013)","(102, 2014)","(4, 2016)","(58, 2017)","(19, 2015)","(104, 2014)","(104, 2012)","(40, 2015)","(58, 2014)","(25, 2014)","(58, 2013)"
426,"(40, 2016)","(0, 2012)","(8, 2017)","(4, 2012)","(104, 2012)","(104, 2016)","(19, 2012)","(104, 2012)","(19, 2014)","(8, 2017)","(58, 2013)","(0, 2016)"
427,"(25, 2016)","(0, 2012)","(102, 2016)","(58, 2016)","(58, 2017)","(25, 2016)","(4, 2013)","(25, 2016)","(25, 2013)","(8, 2017)","(4, 2015)","(19, 2017)"
428,"(102, 2015)","(8, 2017)","(25, 2016)","(19, 2014)","(8, 2014)","(104, 2013)","(25, 2012)","(25, 2015)","(104, 2012)","(58, 2013)","(102, 2017)","(8, 2017)"
429,"(4, 2017)","(58, 2012)","(104, 2012)","(104, 2017)","(25, 2013)","(102, 2017)","(102, 2015)","(25, 2013)","(4, 2013)","(8, 2015)","(104, 2015)","(0, 2016)"
430,"(4, 2017)","(0, 2012)","(8, 2012)","(8, 2015)","(19, 2013)","(25, 2013)","(25, 2017)","(25, 2015)","(25, 2013)","(25, 2015)","(58, 2013)","(58, 2017)"
431,"(8, 2016)","(0, 2014)","(102, 2016)","(40, 2014)","(58, 2013)","(8, 2012)","(102, 2015)","(102, 2014)","(104, 2014)","(58, 2015)","(19, 2012)","(4, 2014)"
432,"(102, 2012)","(25, 2016)","(0, 2013)","(25, 2012)","(8, 2015)","(0, 2017)","(104, 2014)","(40, 2012)","(19, 2015)","(0, 2013)","(25, 2016)","(104, 2015)"
433,"(0, 2014)","(19, 2017)","(19, 2015)","(58, 2017)","(40, 2017)","(40, 2016)","(102, 2012)","(0, 2014)","(25, 2013)","(58, 2016)","(8, 2014)","(58, 2015)"
434,"(40, 2017)","(104, 2012)","(19, 2014)","(104, 2014)","(19, 2014)","(8, 2014)","(58, 2015)","(8, 2012)","(40, 2015)","(19, 2013)","(4, 2017)","(58, 2012)"
435,"(40, 2016)","(102, 2014)","(4, 2017)","(40, 2014)","(58, 2015)","(40, 2015)","(102, 2015)","(40, 2015)","(19, 2013)","(19, 2013)","(19, 2017)","(4, 2017)"
436,"(0, 2012)","(0, 2017)","(40, 2012)","(102, 2015)","(19, 2017)","(8, 2016)","(104, 2016)","(102, 2015)","(8, 2012)","(0, 2012)","(58, 2014)","(8, 2016)"
437,"(40, 2016)","(58, 2014)","(58, 2013)","(40, 2015)","(25, 2015)","(8, 2012)","(25, 2013)","(104, 2012)","(40, 2017)","(104, 2016)","(8, 2015)","(8, 2017)"
438,"(40, 2016)","(25, 2012)","(0, 2016)","(104, 2016)","(40, 2017)","(0, 2012)","(25, 2016)","(0, 2013)","(19, 2015)","(8, 2015)","(0, 2016)","(8, 2015)"
439,"(8, 2012)","(8, 2015)","(40, 2013)","(19, 2015)","(4, 2013)","(4, 2012)","(0, 2014)","(104, 2017)","(40, 2017)","(19, 2013)","(25, 2015)","(58, 2012)"
440,"(0, 2014)","(0, 2015)","(8, 2013)","(102, 2013)","(4, 2016)","(4, 2013)","(4, 2013)","(19, 2012)","(25, 2015)","(19, 2012)","(19, 2014)","(40, 2012)"
441,"(8, 2013)","(58, 2012)","(8, 2012)","(104, 2015)","(4, 2015)","(25, 2016)","(0, 2013)","(19, 2013)","(102, 2016)","(40, 2015)","(102, 2012)","(19, 2017)"
442,"(25, 2015)","(4, 2014)","(102, 2014)","(19, 2017)","(25, 2014)","(40, 2017)","(0, 2013)","(0, 2013)","(104, 2012)","(104, 2014)","(25, 2015)","(25, 2015)"
443,"(102, 2014)","(102, 2016)","(4, 2017)","(25, 2017)","(102, 2014)","(58, 2012)","(102, 2014)","(8, 2012)","(19, 2013)","(102, 2013)","(19, 2014)","(58, 2013)"
444,"(25, 2012)","(4, 2016)","(4, 2016)","(8, 2017)","(104, 2017)","(0, 2013)","(40, 2017)","(4, 2017)","(8, 2012)","(58, 2016)","(40, 2016)","(8, 2014)"
445,"(102, 2015)","(25, 2013)","(102, 2013)","(4, 2016)","(0, 2014)","(58, 2013)","(4, 2014)","(8, 2015)","(0, 2017)","(102, 2013)","(58, 2013)","(19, 2015)"
446,"(8, 2017)","(102, 2013)","(104, 2016)","(104, 2016)","(104, 2017)","(8, 2015)","(40, 2017)","(40, 2012)","(25, 2015)","(25, 2013)","(102, 2012)","(58, 2014)"
447,"(4, 2017)","(19, 2013)","(19, 2017)","(19, 2015)","(40, 2016)","(19, 2013)","(25, 2016)","(25, 2015)","(40, 2016)","(4, 2017)","(102, 2015)","(4, 2017)"
448,"(104, 2013)","(58, 2013)","(4, 2013)","(4, 2017)","(104, 2017)","(102, 2015)","(25, 2013)","(19, 2012)","(19, 2016)","(19, 2015)","(58, 2017)","(58, 2014)"
449,"(25, 2012)","(40, 2014)","(0, 2012)","(40, 2015)","(58, 2016)","(104, 2013)","(25, 2012)","(40, 2017)","(0, 2013)","(8, 2017)","(4, 2016)","(4, 2013)"
450,"(19, 2017)","(8, 2012)","(102, 2014)","(0, 2016)","(104, 2016)","(4, 2016)","(19, 2017)","(25, 2016)","(4, 2012)","(8, 2013)","(0, 2017)","(8, 2015)"
451,"(8, 2016)","(0, 2013)","(104, 2017)","(19, 2015)","(102, 2013)","(58, 2014)","(104, 2016)","(4, 2017)","(40, 2017)","(8, 2015)","(19, 2015)","(104, 2017)"
452,"(102, 2013)","(25, 2017)","(4, 2013)","(104, 2016)","(8, 2012)","(25, 2016)","(104, 2015)","(40, 2012)","(8, 2012)","(4, 2014)","(4, 2016)","(8, 2012)"
453,"(0, 2017)","(8, 2016)","(4, 2015)","(19, 2015)","(104, 2012)","(4, 2016)","(40, 2017)","(40, 2014)","(40, 2012)","(40, 2014)","(25, 2016)","(40, 2013)"
454,"(104, 2015)","(25, 2016)","(58, 2012)","(8, 2013)","(104, 2016)","(102, 2013)","(0, 2012)","(4, 2014)","(0, 2012)","(4, 2012)","(102, 2012)","(8, 2017)"
455,"(0, 2015)","(19, 2012)","(40, 2014)","(8, 2012)","(4, 2016)","(8, 2012)","(104, 2016)","(58, 2013)","(8, 2016)","(40, 2014)","(102, 2013)","(104, 2014)"
456,"(4, 2017)","(102, 2016)","(4, 2014)","(8, 2016)","(4, 2017)","(4, 2012)","(104, 2012)","(104, 2017)","(4, 2015)","(40, 2015)","(40, 2016)","(0, 2015)"
457,"(19, 2014)","(4, 2016)","(40, 2016)","(19, 2016)","(8, 2015)","(8, 2013)","(102, 2014)","(4, 2017)","(8, 2016)","(25, 2012)","(0, 2015)","(40, 2015)"
458,"(102, 2016)","(0, 2017)","(40, 2016)","(8, 2013)","(40, 2014)","(102, 2016)","(40, 2017)","(0, 2017)","(0, 2013)","(8, 2014)","(8, 2013)","(40, 2017)"
459,"(25, 2014)","(104, 2016)","(40, 2012)","(102, 2012)","(58, 2016)","(58, 2017)","(0, 2014)","(4, 2014)","(8, 2015)","(0, 2014)","(104, 2012)","(104, 2015)"
460,"(102, 2016)","(25, 2014)","(25, 2017)","(19, 2017)","(4, 2014)","(0, 2016)","(58, 2014)","(4, 2017)","(4, 2016)","(104, 2012)","(8, 2017)","(4, 2015)"
461,"(25, 2016)","(25, 2013)","(19, 2014)","(4, 2016)","(40, 2015)","(58, 2014)","(104, 2015)","(58, 2012)","(40, 2014)","(25, 2017)","(102, 2014)","(0, 2015)"
462,"(0, 2015)","(0, 2016)","(19, 2012)","(19, 2016)","(102, 2017)","(25, 2015)","(102, 2017)","(104, 2014)","(58, 2013)","(0, 2013)","(0, 2016)","(19, 2015)"
463,"(25, 2014)","(102, 2017)","(40, 2016)","(8, 2012)","(58, 2014)","(25, 2015)","(58, 2012)","(104, 2013)","(40, 2016)","(8, 2012)","(25, 2012)","(0, 2012)"
464,"(0, 2014)","(4, 2012)","(0, 2012)","(102, 2016)","(102, 2014)","(40, 2017)","(4, 2013)","(0, 2014)","(104, 2016)","(102, 2013)","(0, 2013)","(25, 2015)"
465,"(104, 2014)","(19, 2012)","(4, 2015)","(25, 2015)","(40, 2017)","(19, 2017)","(8, 2015)","(8, 2017)","(104, 2014)","(40, 2014)","(102, 2016)","(25, 2013)"
466,"(58, 2015)","(0, 2013)","(4, 2013)","(104, 2017)","(19, 2016)","(19, 2016)","(40, 2013)","(4, 2013)","(40, 2017)","(104, 2014)","(25, 2012)","(40, 2016)"
467,"(4, 2013)","(40, 2016)","(58, 2014)","(19, 2016)","(0, 2013)","(40, 2016)","(4, 2017)","(0, 2012)","(40, 2012)","(25, 2012)","(8, 2014)","(4, 2017)"
468,"(104, 2014)","(19, 2016)","(58, 2017)","(102, 2013)","(40, 2015)","(19, 2015)","(104, 2015)","(25, 2014)","(25, 2014)","(19, 2014)","(102, 2014)","(8, 2014)"
469,"(4, 2014)","(102, 2016)","(19, 2014)","(19, 2012)","(25, 2012)","(40, 2014)","(40, 2012)","(40, 2017)","(58, 2015)","(58, 2015)","(4, 2013)","(102, 2015)"
470,"(25, 2017)","(25, 2017)","(58, 2015)","(40, 2013)","(102, 2013)","(104, 2016)","(102, 2015)","(0, 2017)","(40, 2015)","(102, 2014)","(102, 2015)","(8, 2015)"
471,"(104, 2012)","(4, 2015)","(104, 2015)","(58, 2017)","(8, 2012)","(25, 2016)","(104, 2017)","(102, 2015)","(104, 2013)","(19, 2016)","(104, 2015)","(8, 2016)"
472,"(4, 2016)","(40, 2015)","(104, 2016)","(4, 2013)","(25, 2016)","(40, 2016)","(40, 2012)","(8, 2014)","(25, 2014)","(58, 2013)","(8, 2013)","(19, 2013)"
473,"(104, 2014)","(58, 2014)","(8, 2014)","(25, 2015)","(0, 2013)","(104, 2014)","(104, 2017)","(40, 2014)","(40, 2014)","(102, 2014)","(4, 2017)","(8, 2013)"
474,"(40, 2014)","(25, 2012)","(25, 2015)","(104, 2015)","(0, 2012)","(58, 2013)","(104, 2014)","(19, 2013)","(104, 2015)","(0, 2013)","(40, 2016)","(8, 2016)"
475,"(102, 2015)","(19, 2014)","(40, 2013)","(58, 2015)","(0, 2017)","(19, 2017)","(102, 2012)","(40, 2016)","(104, 2015)","(58, 2015)","(104, 2016)","(4, 2013)"
476,"(104, 2012)","(8, 2013)","(102, 2015)","(102, 2014)","(19, 2016)","(102, 2012)","(102, 2013)","(102, 2015)","(8, 2013)","(58, 2012)","(0, 2014)","(19, 2014)"
477,"(19, 2014)","(0, 2017)","(102, 2016)","(25, 2013)","(104, 2013)","(8, 2012)","(0, 2014)","(25, 2016)","(102, 2015)","(102, 2013)","(4, 2014)","(8, 2017)"
478,"(104, 2014)","(58, 2012)","(40, 2012)","(40, 2017)","(40, 2012)","(4, 2012)","(58, 2017)","(102, 2017)","(4, 2015)","(102, 2012)","(40, 2016)","(58, 2012)"
479,"(4, 2012)","(102, 2017)","(58, 2015)","(40, 2016)","(104, 2017)","(0, 2012)","(102, 2012)","(102, 2012)","(58, 2013)","(19, 2012)","(104, 2015)","(8, 2016)"
480,"(19, 2013)","(102, 2012)","(4, 2015)","(0, 2012)","(8, 2017)","(40, 2016)","(4, 2013)","(102, 2016)","(8, 2012)","(102, 2012)","(58, 2017)","(8, 2014)"
481,"(8, 2016)","(58, 2016)","(102, 2016)","(104, 2014)","(0, 2014)","(40, 2017)","(8, 2013)","(8, 2013)","(19, 2014)","(4, 2012)","(0, 2014)","(58, 2015)"
482,"(0, 2015)","(8, 2012)","(102, 2013)","(8, 2016)","(19, 2017)","(40, 2017)","(25, 2016)","(58, 2017)","(4, 2013)","(104, 2017)","(4, 2013)","(0, 2016)"
483,"(8, 2017)","(8, 2013)","(104, 2013)","(25, 2017)","(8, 2016)","(25, 2017)","(8, 2013)","(40, 2017)","(19, 2012)","(0, 2016)","(4, 2014)","(19, 2013)"
484,"(19, 2017)","(0, 2012)","(0, 2016)","(8, 2012)","(25, 2012)","(58, 2013)","(4, 2013)","(58, 2013)","(102, 2013)","(19, 2013)","(0, 2014)","(0, 2017)"
485,"(8, 2017)","(0, 2015)","(4, 2013)","(0, 2013)","(102, 2016)","(0, 2013)","(19, 2014)","(25, 2016)","(58, 2012)","(4, 2016)","(19, 2014)","(19, 2012)"
486,"(58, 2013)","(19, 2016)","(19, 2013)","(104, 2012)","(40, 2015)","(102, 2012)","(102, 2017)","(104, 2013)","(4, 2017)","(25, 2017)","(0, 2014)","(0, 2016)"
487,"(102, 2016)","(4, 2016)","(58, 2017)","(4, 2014)","(0, 2015)","(0, 2016)","(58, 2015)","(19, 2015)","(4, 2014)","(104, 2015)","(25, 2013)","(102, 2012)"
488,"(25, 2013)","(58, 2012)","(8, 2017)","(102, 2013)","(0, 2016)","(104, 2017)","(4, 2017)","(58, 2013)","(102, 2012)","(25, 2015)","(4, 2015)","(40, 2012)"
489,"(104, 2014)","(25, 2013)","(4, 2012)","(25, 2013)","(58, 2017)","(4, 2016)","(25, 2013)","(0, 2014)","(104, 2014)","(40, 2013)","(104, 2015)","(8, 2013)"
490,"(104, 2014)","(25, 2012)","(0, 2015)","(40, 2013)","(25, 2012)","(25, 2017)","(25, 2015)","(58, 2016)","(25, 2016)","(102, 2014)","(104, 2016)","(0, 2013)"
491,"(102, 2014)","(40, 2012)","(104, 2016)","(19, 2015)","(8, 2014)","(102, 2015)","(25, 2016)","(0, 2016)","(8, 2016)","(40, 2017)","(19, 2017)","(40, 2012)"
492,"(0, 2015)","(40, 2012)","(58, 2015)","(8, 2014)","(58, 2012)","(8, 2013)","(102, 2015)","(104, 2013)","(0, 2017)","(4, 2017)","(58, 2013)","(104, 2012)"
493,"(40, 2012)","(25, 2013)","(104, 2013)","(58, 2017)","(102, 2014)","(19, 2012)","(40, 2014)","(58, 2015)","(19, 2017)","(25, 2015)","(40, 2013)","(25, 2012)"
494,"(25, 2015)","(0, 2014)","(104, 2016)","(58, 2012)","(25, 2015)","(0, 2017)","(104, 2012)","(19, 2016)","(25, 2015)","(4, 2016)","(25, 2013)","(4, 2012)"
495,"(58, 2014)","(104, 2015)","(25, 2016)","(58, 2015)","(102, 2012)","(25, 2014)","(19, 2012)","(25, 2015)","(102, 2014)","(104, 2017)","(104, 2015)","(19, 2013)"
496,"(8, 2012)","(0, 2013)","(102, 2014)","(40, 2013)","(104, 2016)","(25, 2017)","(102, 2015)","(102, 2015)","(58, 2014)","(25, 2014)","(104, 2012)","(0, 2014)"
497,"(102, 2014)","(102, 2012)","(4, 2014)","(25, 2014)","(25, 2017)","(0, 2017)","(0, 2016)","(58, 2012)","(104, 2013)","(104, 2014)","(19, 2012)","(19, 2012)"
498,"(0, 2014)","(8, 2014)","(0, 2012)","(19, 2016)","(8, 2013)","(102, 2015)","(19, 2012)","(104, 2013)","(19, 2016)","(58, 2015)","(0, 2012)","(40, 2017)"
499,"(0, 2014)","(19, 2012)","(19, 2014)","(58, 2015)","(19, 2015)","(8, 2015)","(8, 2014)","(8, 2016)","(25, 2015)","(104, 2016)","(0, 2016)","(40, 2012)"
500,"(19, 2014)","(40, 2015)","(4, 2013)","(4, 2017)","(40, 2012)","(102, 2013)","(25, 2017)","(8, 2016)","(0, 2014)","(19, 2017)","(40, 2014)","(8, 2015)"
501,"(4, 2013)","(58, 2012)","(25, 2016)","(40, 2017)","(19, 2013)","(4, 2017)","(25, 2012)","(40, 2015)","(58, 2014)","(40, 2016)","(4, 2015)","(104, 2017)"
502,"(40, 2016)","(40, 2013)","(0, 2013)","(8, 2012)","(19, 2016)","(0, 2015)","(102, 2012)","(0, 2017)","(104, 2014)","(0, 2017)","(102, 2014)","(104, 2015)"
503,"(40, 2012)","(25, 2012)","(4, 2016)","(40, 2013)","(0, 2015)","(102, 2017)","(19, 2017)","(0, 2016)","(4, 2015)","(102, 2016)","(8, 2012)","(102, 2015)"
504,"(102, 2017)","(25, 2014)","(104, 2012)","(8, 2016)","(58, 2013)","(8, 2014)","(58, 2012)","(4, 2014)","(58, 2012)","(102, 2016)","(40, 2015)","(25, 2017)"
505,"(19, 2017)","(58, 2014)","(25, 2013)","(0, 2015)","(102, 2012)","(25, 2015)","(40, 2017)","(102, 2012)","(8, 2013)","(104, 2012)","(25, 2014)","(104, 2017)"
506,"(25, 2014)","(58, 2017)","(0, 2017)","(104, 2016)","(8, 2016)","(0, 2016)","(102, 2012)","(102, 2015)","(40, 2016)","(104, 2017)","(0, 2015)","(8, 2016)"
507,"(4, 2016)","(25, 2017)","(4, 2012)","(58, 2014)","(8, 2017)","(40, 2016)","(4, 2016)","(19, 2013)","(104, 2015)","(25, 2015)","(0, 2012)","(4, 2017)"
508,"(8, 2016)","(8, 2012)","(58, 2017)","(8, 2015)","(0, 2017)","(19, 2013)","(8, 2012)","(4, 2015)","(104, 2015)","(0, 2015)","(8, 2015)","(58, 2013)"
509,"(102, 2017)","(4, 2016)","(102, 2012)","(19, 2016)","(4, 2012)","(0, 2013)","(58, 2012)","(102, 2014)","(19, 2012)","(25, 2013)","(4, 2012)","(40, 2016)"
510,"(25, 2015)","(0, 2017)","(8, 2014)","(58, 2014)","(8, 2017)","(19, 2012)","(102, 2012)","(8, 2015)","(4, 2015)","(102, 2012)","(0, 2017)","(19, 2017)"
511,"(19, 2017)","(102, 2016)","(40, 2015)","(104, 2017)","(8, 2015)","(58, 2017)","(8, 2012)","(8, 2013)","(25, 2012)","(19, 2016)","(19, 2013)","(19, 2016)"
512,"(19, 2017)","(4, 2015)","(40, 2015)","(19, 2014)","(25, 2013)","(104, 2017)","(40, 2017)","(102, 2012)","(8, 2015)","(40, 2015)","(8, 2016)","(40, 2012)"
513,"(0, 2015)","(0, 2017)","(0, 2017)","(104, 2012)","(4, 2012)","(19, 2017)","(4, 2014)","(19, 2013)","(40, 2017)","(25, 2016)","(102, 2013)","(19, 2015)"
514,"(25, 2017)","(102, 2012)","(0, 2014)","(25, 2014)","(58, 2016)","(58, 2017)","(104, 2015)","(102, 2013)","(102, 2012)","(58, 2015)","(40, 2015)","(0, 2017)"
515,"(40, 2014)","(58, 2017)","(25, 2016)","(58, 2017)","(102, 2013)","(0, 2016)","(0, 2015)","(25, 2015)","(102, 2016)","(19, 2013)","(58, 2015)","(8, 2012)"
516,"(104, 2017)","(0, 2016)","(0, 2013)","(58, 2017)","(8, 2017)","(8, 2013)","(4, 2013)","(58, 2013)","(58, 2017)","(19, 2017)","(40, 2013)","(8, 2015)"
517,"(19, 2013)","(102, 2016)","(19, 2013)","(25, 2013)","(25, 2013)","(8, 2014)","(104, 2012)","(58, 2014)","(8, 2015)","(8, 2016)","(40, 2012)","(8, 2015)"
518,"(8, 2014)","(0, 2016)","(58, 2017)","(25, 2015)","(102, 2017)","(4, 2012)","(19, 2017)","(102, 2015)","(102, 2015)","(58, 2013)","(25, 2014)","(58, 2017)"
519,"(25, 2013)","(102, 2015)","(4, 2013)","(104, 2016)","(8, 2017)","(104, 2017)","(58, 2016)","(40, 2016)","(0, 2012)","(104, 2012)","(19, 2017)","(40, 2012)"
520,"(102, 2012)","(0, 2014)","(0, 2017)","(8, 2013)","(102, 2012)","(8, 2016)","(40, 2013)","(19, 2014)","(104, 2015)","(19, 2012)","(102, 2012)","(8, 2012)"
521,"(102, 2012)","(19, 2015)","(104, 2015)","(58, 2012)","(58, 2017)","(102, 2015)","(58, 2014)","(58, 2017)","(19, 2013)","(102, 2016)","(58, 2017)","(4, 2014)"
522,"(4, 2013)","(19, 2017)","(4, 2015)","(104, 2013)","(0, 2012)","(19, 2013)","(102, 2015)","(19, 2015)","(8, 2017)","(102, 2015)","(0, 2015)","(58, 2016)"
523,"(40, 2013)","(8, 2013)","(25, 2015)","(40, 2017)","(25, 2016)","(40, 2012)","(19, 2014)","(102, 2012)","(40, 2013)","(8, 2016)","(25, 2016)","(104, 2015)"
524,"(104, 2013)","(4, 2013)","(102, 2014)","(19, 2016)","(102, 2017)","(25, 2013)","(8, 2014)","(4, 2015)","(58, 2014)","(0, 2016)","(58, 2013)","(40, 2015)"
525,"(8, 2014)","(58, 2012)","(102, 2013)","(25, 2017)","(102, 2017)","(25, 2017)","(0, 2017)","(104, 2014)","(58, 2017)","(58, 2015)","(40, 2015)","(19, 2012)"
526,"(4, 2016)","(40, 2017)","(19, 2016)","(102, 2016)","(58, 2016)","(25, 2014)","(104, 2015)","(8, 2014)","(58, 2016)","(4, 2013)","(8, 2014)","(102, 2013)"
527,"(0, 2012)","(8, 2017)","(102, 2014)","(102, 2014)","(25, 2015)","(8, 2012)","(4, 2012)","(40, 2016)","(102, 2015)","(4, 2013)","(58, 2017)","(104, 2016)"
528,"(58, 2014)","(25, 2015)","(19, 2016)","(0, 2014)","(40, 2014)","(40, 2014)","(25, 2013)","(19, 2012)","(58, 2015)","(0, 2012)","(104, 2016)","(102, 2015)"
529,"(0, 2015)","(102, 2014)","(0, 2012)","(4, 2014)","(102, 2016)","(40, 2015)","(4, 2016)","(104, 2015)","(102, 2016)","(102, 2017)","(19, 2012)","(58, 2013)"
530,"(4, 2015)","(4, 2016)","(58, 2014)","(19, 2017)","(0, 2015)","(40, 2016)","(8, 2016)","(40, 2012)","(25, 2012)","(0, 2016)","(25, 2016)","(40, 2012)"
531,"(25, 2013)","(104, 2015)","(25, 2015)","(0, 2014)","(25, 2014)","(0, 2017)","(25, 2012)","(40, 2015)","(8, 2012)","(102, 2015)","(102, 2017)","(19, 2016)"
532,"(25, 2015)","(0, 2017)","(4, 2015)","(4, 2013)","(19, 2014)","(19, 2016)","(19, 2015)","(8, 2015)","(40, 2016)","(19, 2013)","(58, 2016)","(40, 2016)"
533,"(19, 2015)","(25, 2014)","(104, 2016)","(104, 2015)","(0, 2013)","(19, 2014)","(4, 2016)","(4, 2013)","(40, 2014)","(19, 2012)","(102, 2013)","(0, 2014)"
534,"(0, 2012)","(0, 2016)","(4, 2016)","(25, 2014)","(0, 2012)","(8, 2014)","(58, 2015)","(0, 2014)","(4, 2014)","(40, 2016)","(104, 2016)","(40, 2015)"
535,"(40, 2012)","(25, 2016)","(25, 2015)","(8, 2014)","(104, 2016)","(4, 2016)","(8, 2012)","(0, 2017)","(102, 2016)","(4, 2015)","(40, 2017)","(8, 2016)"
536,"(8, 2016)","(102, 2015)","(58, 2017)","(19, 2016)","(102, 2016)","(0, 2014)","(102, 2015)","(0, 2012)","(104, 2012)","(4, 2016)","(0, 2012)","(25, 2012)"
537,"(25, 2017)","(58, 2017)","(58, 2017)","(25, 2017)","(58, 2012)","(104, 2012)","(25, 2012)","(19, 2016)","(8, 2012)","(4, 2015)","(8, 2014)","(102, 2014)"
538,"(25, 2017)","(102, 2017)","(19, 2014)","(19, 2017)","(104, 2012)","(58, 2014)","(8, 2015)","(58, 2015)","(0, 2014)","(4, 2014)","(4, 2017)","(0, 2015)"
539,"(58, 2016)","(58, 2015)","(8, 2014)","(40, 2016)","(102, 2013)","(19, 2012)","(4, 2016)","(0, 2016)","(4, 2013)","(0, 2013)","(40, 2015)","(4, 2014)"
540,"(102, 2017)","(8, 2012)","(40, 2014)","(40, 2014)","(19, 2012)","(58, 2014)","(25, 2014)","(40, 2013)","(25, 2013)","(19, 2012)","(104, 2016)","(102, 2015)"
541,"(4, 2015)","(58, 2015)","(104, 2014)","(104, 2015)","(104, 2015)","(58, 2014)","(4, 2014)","(19, 2015)","(40, 2014)","(102, 2013)","(4, 2012)","(58, 2012)"
542,"(58, 2016)","(25, 2013)","(4, 2016)","(102, 2013)","(58, 2015)","(40, 2013)","(19, 2017)","(25, 2014)","(19, 2016)","(104, 2013)","(104, 2017)","(58, 2017)"
543,"(19, 2012)","(0, 2015)","(8, 2013)","(102, 2014)","(4, 2012)","(0, 2012)","(4, 2017)","(104, 2015)","(25, 2017)","(0, 2014)","(0, 2016)","(102, 2017)"
544,"(102, 2012)","(104, 2015)","(25, 2016)","(104, 2016)","(0, 2014)","(0, 2017)","(40, 2013)","(0, 2016)","(19, 2014)","(0, 2017)","(19, 2015)","(8, 2013)"
545,"(102, 2016)","(40, 2016)","(25, 2014)","(4, 2015)","(0, 2012)","(19, 2015)","(40, 2015)","(4, 2014)","(4, 2017)","(8, 2012)","(58, 2012)","(8, 2016)"
546,"(0, 2015)","(8, 2014)","(0, 2014)","(104, 2013)","(19, 2016)","(4, 2015)","(19, 2014)","(102, 2015)","(40, 2015)","(19, 2012)","(58, 2015)","(58, 2012)"
547,"(19, 2016)","(19, 2015)","(0, 2015)","(58, 2017)","(58, 2013)","(8, 2013)","(25, 2014)","(58, 2016)","(0, 2013)","(102, 2012)","(104, 2017)","(58, 2017)"
548,"(104, 2012)","(8, 2016)","(8, 2012)","(4, 2013)","(40, 2014)","(0, 2017)","(102, 2015)","(0, 2013)","(40, 2016)","(19, 2013)","(8, 2012)","(102, 2013)"
549,"(8, 2012)","(0, 2013)","(0, 2016)","(0, 2014)","(104, 2013)","(58, 2013)","(40, 2016)","(19, 2012)","(19, 2014)","(58, 2014)","(19, 2014)","(4, 2014)"
550,"(102, 2014)","(102, 2014)","(25, 2014)","(0, 2015)","(8, 2016)","(0, 2015)","(19, 2014)","(8, 2012)","(4, 2014)","(104, 2017)","(40, 2016)","(104, 2013)"
551,"(104, 2016)","(4, 2015)","(0, 2013)","(104, 2017)","(0, 2012)","(102, 2013)","(8, 2013)","(8, 2015)","(8, 2013)","(8, 2017)","(40, 2014)","(104, 2013)"
552,"(58, 2015)","(58, 2014)","(58, 2015)","(25, 2014)","(104, 2015)","(19, 2016)","(0, 2013)","(0, 2017)","(102, 2016)","(19, 2013)","(4, 2016)","(19, 2013)"
553,"(40, 2014)","(19, 2014)","(8, 2017)","(8, 2013)","(8, 2014)","(104, 2013)","(0, 2013)","(4, 2013)","(40, 2013)","(25, 2012)","(0, 2017)","(58, 2016)"
554,"(58, 2013)","(19, 2017)","(104, 2015)","(19, 2014)","(104, 2015)","(19, 2014)","(25, 2012)","(8, 2012)","(104, 2012)","(25, 2014)","(19, 2014)","(40, 2016)"
